List File,13.lst
Start Time,2016-08-13  11:09:21
Sampling Time,36 sec

Count,10687
Particles / ml,762085

Efficiency,7.7%
PPUI,27.40

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),74.36,19.60,1224.81,44.63,60.02
Aspect Ratio,0.83,0.28,1.00,0.12,14.75
Circle Fit,0.74,0.00,0.96,0.14,18.38
Circularity (Hu),0.93,0.38,1.00,0.07,8.09
Compactness,1.75,1.00,6.96,0.60,34.39
Diameter (ABD),9.39,5.00,39.49,2.54,26.99
Diameter (ESD),10.95,5.72,50.08,3.16,28.84
Elongation,3.09,1.00,19.82,2.03,65.57
Geodesic Aspect Ratio,0.47,0.05,1.00,0.28,60.52
Geodesic Length,18.18,6.16,124.47,8.61,47.34
Geodesic Thickness,6.63,1.84,17.60,1.81,27.37
Image Height,34.55,22.00,115.00,6.58,19.04
Image Width,33.53,22.00,91.00,5.78,17.24
Intensity,133.38,78.36,187.95,19.23,14.41
Length,12.38,5.98,61.83,3.90,31.49
Perimeter,49.61,24.66,271.91,16.40,33.05
Roughness,1.24,1.03,2.38,0.16,12.73
Sigma Intensity,39.81,11.29,58.58,7.05,17.72
Sum Intensity,51762.16,15039.00,6.33e+005,27924.24,53.95
Transparency,0.14,0.03,0.45,0.05,36.37
Volume (ABD),539.06,65.29,32245.44,623.08,115.59
Width,9.22,3.96,38.29,2.43,26.34

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,0.04,0.00,285,0.03
6-7um,493,4.61,0.80,35156,5.27
7-8um,1023,9.57,2.49,72950,16
8-9um,1536,14.37,5.42,109531,36
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4720,44.17,16.78,336581,110
10-15um,4613,43.16,46.35,328951,304
15-20um,895,8.37,25.20,63822,165
20-25um,182,1.70,10.03,12978,66
25-30um,2,0.02,0.20,143,1.34
30-35um,1,0.01,0.15,71,1.01
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.01,0.39,71,2.56
45-50um,0,0.00,0.00,0.00,0.00
50-55um,1,0.01,0.72,71,4.69
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1628,15.23,7.94,116092,52
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

