List File,28-R2.lst
Start Time,2016-08-13  11:31:29
Sampling Time,42 sec

Count,2411
Particles / ml,134978

Efficiency,8.5%
PPUI,4.86

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),90.58,19.60,339.33,49.50,54.64
Aspect Ratio,0.84,0.32,1.00,0.11,12.64
Circle Fit,0.76,0.07,0.95,0.12,15.35
Circularity (Hu),0.94,0.17,1.00,0.06,6.26
Compactness,1.66,1.00,9.05,0.57,34.04
Diameter (ABD),10.39,5.00,20.79,2.72,26.17
Diameter (ESD),11.85,6.04,22.81,3.18,26.86
Elongation,2.80,1.00,26.41,1.91,68.26
Geodesic Aspect Ratio,0.51,0.04,1.00,0.30,58.10
Geodesic Length,18.60,6.52,57.34,8.50,45.67
Geodesic Thickness,7.55,1.66,16.45,2.07,27.37
Image Height,36.02,23.00,67.00,6.37,17.67
Image Width,35.27,22.00,62.00,5.95,16.86
Intensity,123.51,70.75,188.67,21.90,17.73
Length,13.23,6.35,29.40,3.71,28.07
Perimeter,52.30,26.09,126.72,16.10,30.80
Roughness,1.22,1.03,2.25,0.15,12.52
Sigma Intensity,39.14,3.98,59.79,7.69,19.65
Sum Intensity,54965.12,15540.00,1.86e+005,26157.76,47.59
Transparency,0.12,0.03,0.62,0.05,40.61
Volume (ABD),715.96,65.29,4702.12,619.88,86.58
Width,10.18,4.01,20.97,2.68,26.32

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,48,1.99,0.28,2687,0.39
7-8um,137,5.68,1.22,7670,1.73
8-9um,217,9.00,2.78,12149,3.94
0-5um,0,0.00,0.00,0.00,0.00
5-10um,714,29.61,9.78,39973,14
10-15um,1271,52.72,47.10,71156,67
15-20um,332,13.77,34.60,18587,49
20-25um,42,1.74,8.45,2351,12
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,307,12.73,5.45,17187,7.73
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

