List File,41B.lst
Start Time,2016-08-13  12:57:19
Sampling Time,38 sec

Count,13654
Particles / ml,976684

Efficiency,7.3%
PPUI,35.19

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),59.95,19.60,669.83,32.81,54.73
Aspect Ratio,0.83,0.12,1.00,0.12,14.15
Circle Fit,0.73,0.00,0.96,0.14,18.77
Circularity (Hu),0.92,0.16,1.00,0.08,8.92
Compactness,1.82,1.00,11.91,0.76,41.61
Diameter (ABD),8.48,5.00,29.20,2.12,24.97
Diameter (ESD),10.02,5.32,40.11,2.78,27.69
Elongation,3.33,1.00,35.39,2.52,75.56
Geodesic Aspect Ratio,0.47,0.03,1.00,0.30,64.55
Geodesic Length,17.20,5.82,95.44,8.55,49.69
Geodesic Thickness,6.08,1.45,18.52,1.73,28.51
Image Height,32.71,21.00,93.00,5.62,17.17
Image Width,32.03,21.00,88.00,5.39,16.84
Intensity,135.90,81.98,203.67,19.62,14.44
Length,11.36,5.58,50.57,3.44,30.26
Perimeter,46.55,23.29,207.58,15.68,33.68
Roughness,1.25,1.02,2.49,0.18,14.64
Sigma Intensity,37.63,3.25,58.58,7.61,20.22
Sum Intensity,44711.90,14047.00,3.44e+005,22401.74,50.10
Transparency,0.15,0.03,0.64,0.06,40.04
Volume (ABD),384.16,65.29,13041.08,367.46,95.65
Width,8.41,2.20,31.35,2.16,25.65

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,34,0.25,0.04,2432,0.23
6-7um,1425,10.44,2.40,101932,15
7-8um,1790,13.11,4.60,128040,29
8-9um,1923,14.08,7.13,137554,44
0-5um,0,0.00,0.00,0.00,0.00
5-10um,7176,52.56,24.40,513306,152
10-15um,5244,38.41,51.92,375108,323
15-20um,527,3.86,15.65,37697,97
20-25um,114,0.83,6.89,8155,43
25-30um,3,0.02,0.37,215,2.28
30-35um,1,0.01,0.21,72,1.28
35-40um,0,0.00,0.00,0.00,0.00
40-45um,1,0.01,0.39,72,2.42
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1953,14.30,10.08,139700,63
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

