List File,2-JULY30.lst
Start Time,2016-07-01  11:55:41
Sampling Time,1 min 24 sec

Count,391
Particles / ml,11303

Efficiency,16.5%
PPUI,1.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),66.04,19.60,583.39,65.16,98.67
Aspect Ratio,0.83,0.35,1.00,0.13,15.09
Circle Fit,0.75,0.06,0.95,0.17,22.67
Circularity (Hu),0.92,0.51,1.00,0.10,10.79
Compactness,1.67,1.00,5.56,0.77,46.03
Diameter (ABD),8.49,5.00,27.25,3.46,40.71
Diameter (ESD),10.03,5.32,33.23,4.43,44.21
Elongation,2.83,1.00,15.41,2.54,89.82
Geodesic Aspect Ratio,0.60,0.06,1.00,0.35,58.09
Geodesic Length,16.01,5.77,71.58,11.28,70.43
Geodesic Thickness,6.65,2.09,14.79,1.99,29.90
Image Height,32.28,23.00,70.00,8.23,25.49
Image Width,32.44,22.00,83.00,8.68,26.75
Intensity,139.72,95.10,173.66,14.03,10.04
Length,11.42,5.76,41.10,5.43,47.58
Perimeter,45.32,23.10,163.03,22.19,48.97
Roughness,1.23,1.03,1.97,0.17,14.01
Sigma Intensity,34.70,5.59,51.18,10.46,30.15
Sum Intensity,45876.03,16143.00,2.32e+005,29864.78,65.10
Transparency,0.14,0.04,0.38,0.07,49.01
Volume (ABD),520.29,65.29,10600.03,918.61,176.56
Width,8.37,3.64,25.42,3.35,39.99

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,15,3.84,0.41,434,0.04
6-7um,76,19.44,3.15,2197,0.32
7-8um,74,18.93,4.63,2139,0.48
8-9um,51,13.04,4.52,1474,0.47
0-5um,0,0.00,0.00,0.00,0.00
5-10um,262,67.01,18.32,7574,1.89
10-15um,74,18.93,19.55,2139,2.01
15-20um,29,7.42,22.29,838,2.30
20-25um,18,4.60,29.30,520,3.02
25-30um,2,0.51,5.00,58,0.52
30-35um,1,0.26,5.39,29,0.56
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,43,11.00,5.37,1243,0.55
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

