List File,4-JULY1-R2.lst
Start Time,2016-07-01  12:01:19
Sampling Time,1 min 24 sec

Count,356
Particles / ml,10342

Efficiency,16.3%
PPUI,1.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),71.45,19.60,318.09,57.92,81.06
Aspect Ratio,0.82,0.31,0.99,0.14,16.91
Circle Fit,0.74,0.00,0.94,0.18,23.91
Circularity (Hu),0.92,0.39,1.00,0.10,11.11
Compactness,1.66,1.00,4.65,0.69,41.47
Diameter (ABD),8.92,5.00,20.12,3.37,37.76
Diameter (ESD),10.49,5.50,25.80,4.20,40.00
Elongation,2.80,1.00,12.53,2.30,82.11
Geodesic Aspect Ratio,0.58,0.08,1.00,0.34,58.40
Geodesic Length,16.45,6.05,66.70,10.29,62.54
Geodesic Thickness,6.94,2.01,19.01,2.29,32.96
Image Height,33.13,23.00,73.00,8.27,24.95
Image Width,33.21,24.00,75.00,7.85,23.65
Intensity,138.28,94.41,179.83,15.46,11.18
Length,12.00,6.03,33.60,5.23,43.59
Perimeter,46.77,24.20,144.49,20.22,43.23
Roughness,1.24,1.04,1.79,0.15,12.27
Sigma Intensity,34.23,4.54,52.11,10.90,31.85
Sum Intensity,48437.03,18590.00,1.58e+005,27234.74,56.23
Transparency,0.14,0.04,0.45,0.07,46.41
Volume (ABD),553.03,65.29,4267.68,703.05,127.13
Width,8.70,2.80,19.04,3.21,36.83

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,9,2.53,0.27,261,0.03
6-7um,56,15.73,2.52,1627,0.24
7-8um,65,18.26,4.48,1888,0.43
8-9um,48,13.48,4.53,1394,0.44
0-5um,0,0.00,0.00,0.00,0.00
5-10um,218,61.24,17.23,6333,1.66
10-15um,80,22.47,25.66,2324,2.47
15-20um,41,11.52,34.84,1191,3.36
20-25um,10,2.81,16.35,291,1.58
25-30um,2,0.56,5.39,58,0.52
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,40,11.24,5.42,1162,0.52
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

