List File,25-JULY2.lst
Start Time,2016-07-02  10:37:47
Sampling Time,42 sec

Count,72
Particles / ml,3972

Efficiency,8.7%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),91.21,19.81,335.24,66.92,73.37
Aspect Ratio,0.88,0.51,0.99,0.08,9.22
Circle Fit,0.80,0.26,0.95,0.12,14.51
Circularity (Hu),0.95,0.66,1.00,0.06,6.34
Compactness,1.49,1.00,3.38,0.46,31.01
Diameter (ABD),10.16,5.02,20.66,3.62,35.63
Diameter (ESD),11.52,6.09,24.05,4.15,36.04
Elongation,2.25,1.00,8.50,1.55,68.93
Geodesic Aspect Ratio,0.62,0.12,1.00,0.31,50.06
Geodesic Length,16.47,6.44,51.96,9.00,54.63
Geodesic Thickness,8.07,2.73,13.79,2.22,27.52
Image Height,34.99,24.00,64.00,8.03,22.94
Image Width,35.17,25.00,59.00,7.71,21.91
Intensity,130.06,55.21,185.23,18.79,14.45
Length,12.73,6.28,27.43,4.79,37.66
Perimeter,49.10,25.76,120.23,18.62,37.93
Roughness,1.21,1.04,1.53,0.12,9.88
Sigma Intensity,34.54,8.59,50.91,9.77,28.27
Sum Intensity,55361.42,18605.00,1.86e+005,30616.33,55.30
Transparency,0.12,0.03,0.30,0.05,44.47
Volume (ABD),774.45,66.31,4617.37,875.09,113.00
Width,10.12,5.25,20.87,3.51,34.70

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,7,9.72,1.27,386,0.06
7-8um,10,13.89,2.82,552,0.13
8-9um,9,12.50,3.46,496,0.16
0-5um,0,0.00,0.00,0.00,0.00
5-10um,31,43.06,10.00,1710,0.45
10-15um,29,40.28,38.23,1600,1.73
15-20um,8,11.11,24.52,441,1.11
20-25um,4,5.56,27.25,221,1.23
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,4,5.56,2.23,221,0.10
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

