List File,7-JULY2-R2.lst
Start Time,2016-07-02  11:20:55
Sampling Time,43 sec

Count,100
Particles / ml,5420

Efficiency,8.6%
PPUI,1.30

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),88.71,25.86,368.58,60.42,68.10
Aspect Ratio,0.82,0.11,0.99,0.16,19.68
Circle Fit,0.74,0.00,0.95,0.22,29.27
Circularity (Hu),0.92,0.19,1.00,0.12,13.56
Compactness,1.66,1.00,6.54,0.87,52.40
Diameter (ABD),10.16,5.74,21.66,3.13,30.78
Diameter (ESD),11.90,5.99,27.12,4.34,36.47
Elongation,2.86,1.00,18.48,2.83,98.95
Geodesic Aspect Ratio,0.59,0.05,1.00,0.35,58.46
Geodesic Length,18.18,6.33,73.50,11.96,65.81
Geodesic Thickness,7.68,1.92,15.39,2.26,29.48
Image Height,36.14,25.00,79.00,9.12,25.23
Image Width,35.43,24.00,60.00,7.80,22.03
Intensity,129.96,93.46,205.53,16.16,12.43
Length,13.56,6.35,35.79,5.79,42.71
Perimeter,51.71,25.31,154.95,22.64,43.78
Roughness,1.23,1.03,1.97,0.18,14.58
Sigma Intensity,33.52,5.27,53.55,11.66,34.78
Sum Intensity,55934.24,23646.00,1.93e+005,30083.61,53.78
Transparency,0.13,0.03,0.60,0.09,66.91
Volume (ABD),723.53,98.94,5322.97,826.08,114.17
Width,9.78,2.34,22.60,3.00,30.63

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,4,4.00,0.50,217,0.03
7-8um,9,9.00,1.67,488,0.11
8-9um,5,5.00,1.29,271,0.09
0-5um,0,0.00,0.00,0.00,0.00
5-10um,38,38.00,10.37,2060,0.71
10-15um,42,42.00,29.31,2276,2.00
15-20um,10,10.00,20.79,542,1.42
20-25um,6,6.00,31.21,325,2.12
25-30um,1,1.00,8.31,54,0.57
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,19,19.00,6.82,1030,0.46
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

