List File,13-JUNE30-R2.lst
Start Time,2016-06-30  14:20:17
Sampling Time,39 sec

Count,91
Particles / ml,5398

Efficiency,10.3%
PPUI,1.06

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),47.17,19.81,130.21,20.56,43.59
Aspect Ratio,0.87,0.54,1.00,0.10,11.27
Circle Fit,0.82,0.47,0.95,0.11,13.22
Circularity (Hu),0.95,0.70,1.00,0.06,6.46
Compactness,1.33,1.00,2.63,0.37,27.35
Diameter (ABD),7.59,5.02,12.88,1.59,20.89
Diameter (ESD),8.58,5.63,13.58,1.73,20.20
Elongation,1.74,1.00,6.10,1.22,70.05
Geodesic Aspect Ratio,0.77,0.16,1.00,0.31,39.90
Geodesic Length,10.96,6.25,23.30,3.99,36.42
Geodesic Thickness,7.39,2.70,13.01,2.03,27.45
Image Height,29.65,24.00,40.00,3.17,10.71
Image Width,29.54,23.00,42.00,3.87,13.09
Intensity,144.37,114.26,174.27,13.38,9.27
Length,9.52,6.27,16.13,2.10,22.02
Perimeter,36.69,24.98,56.27,7.15,19.50
Roughness,1.19,1.04,1.59,0.15,12.32
Sigma Intensity,33.17,5.77,49.53,12.67,38.19
Sum Intensity,38579.85,20022.00,85271.00,12936.54,33.53
Transparency,0.11,0.03,0.37,0.06,54.55
Volume (ABD),259.89,66.31,1117.67,180.03,69.27
Width,7.43,4.70,11.88,1.45,19.51

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,2.20,0.61,119,0.01
6-7um,15,16.48,6.59,890,0.13
7-8um,23,25.27,15.49,1364,0.31
8-9um,15,16.48,14.01,890,0.28
0-5um,0,0.00,0.00,0.00,0.00
5-10um,74,81.32,60.55,4389,1.22
10-15um,17,18.68,39.45,1008,0.79
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,18,19.78,23.07,1068,0.46
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

