List File,16-JULY2.lst
Start Time,2016-07-02  10:56:27
Sampling Time,45 sec

Count,55
Particles / ml,2822

Efficiency,8.7%
PPUI,1.20

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),86.64,21.45,250.59,56.60,65.33
Aspect Ratio,0.85,0.48,0.98,0.13,15.01
Circle Fit,0.77,0.33,0.94,0.14,18.62
Circularity (Hu),0.94,0.71,1.00,0.07,7.43
Compactness,1.47,1.02,2.44,0.37,25.31
Diameter (ABD),10.02,5.23,17.86,3.17,31.66
Diameter (ESD),11.38,5.96,20.84,3.79,33.29
Elongation,2.20,1.00,5.47,1.26,57.15
Geodesic Aspect Ratio,0.61,0.18,1.00,0.30,50.02
Geodesic Length,15.93,6.64,35.69,7.20,45.22
Geodesic Thickness,8.06,3.20,12.22,2.26,28.05
Image Height,34.91,25.00,55.00,7.11,20.37
Image Width,34.72,25.00,58.00,7.30,21.03
Intensity,137.15,110.72,187.11,17.65,12.87
Length,12.71,6.48,26.98,4.91,38.67
Perimeter,47.98,26.55,88.67,15.02,31.30
Roughness,1.22,1.05,1.52,0.12,10.07
Sigma Intensity,35.43,12.43,50.53,10.66,30.08
Sum Intensity,56942.02,25350.00,1.41e+005,27189.75,47.75
Transparency,0.12,0.03,0.27,0.05,47.18
Volume (ABD),694.93,74.74,2984.03,696.24,100.19
Width,9.72,5.21,15.75,2.55,26.26

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,1.82,0.20,51,0.01
6-7um,1,1.82,0.22,51,0.01
7-8um,9,16.36,3.60,462,0.10
8-9um,3,5.45,1.86,154,0.05
0-5um,0,0.00,0.00,0.00,0.00
5-10um,25,45.45,14.77,1283,0.43
10-15um,21,38.18,36.04,1078,1.05
15-20um,5,9.09,25.24,257,0.74
20-25um,3,5.45,23.96,154,0.70
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,11,20.00,8.89,564,0.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

