List File,22-R3.lst
Start Time,2016-07-06  12:12:59
Sampling Time,12 sec

Count,203
Particles / ml,36625

Efficiency,8.9%
PPUI,1.81

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),77.96,20.83,480.27,63.30,81.20
Aspect Ratio,0.85,0.34,0.99,0.12,13.84
Circle Fit,0.79,0.05,0.95,0.17,21.04
Circularity (Hu),0.94,0.35,1.00,0.09,9.18
Compactness,1.50,1.00,5.97,0.74,49.48
Diameter (ABD),9.43,5.15,24.73,3.23,34.32
Diameter (ESD),10.73,5.62,29.65,4.11,38.25
Elongation,2.27,1.00,16.70,2.42,106.83
Geodesic Aspect Ratio,0.70,0.06,1.00,0.32,46.68
Geodesic Length,15.30,6.13,75.68,11.09,72.50
Geodesic Thickness,7.93,2.05,17.76,2.14,26.96
Image Height,33.85,25.00,70.00,8.03,23.73
Image Width,33.20,23.00,65.00,7.40,22.28
Intensity,138.05,100.02,173.04,14.62,10.59
Length,11.93,5.92,34.10,4.93,41.34
Perimeter,46.46,24.53,164.40,21.56,46.41
Roughness,1.21,1.03,2.09,0.19,15.38
Sigma Intensity,36.08,4.50,50.76,10.57,29.28
Sum Intensity,53188.70,20669.00,2.36e+005,31360.25,58.96
Transparency,0.11,0.03,0.45,0.07,59.92
Volume (ABD),622.38,71.52,7917.68,914.81,146.98
Width,9.26,4.49,27.37,3.30,35.60

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,1.48,0.14,541,0.05
6-7um,17,8.37,1.31,3067,0.47
7-8um,23,11.33,2.63,4150,0.93
8-9um,40,19.70,6.57,7217,2.34
0-5um,0,0.00,0.00,0.00,0.00
5-10um,108,53.20,16.21,19485,5.77
10-15um,68,33.50,32.05,12269,11
15-20um,12,5.91,17.02,2165,6.05
20-25um,7,3.45,20.94,1263,7.45
25-30um,2,0.99,13.78,361,4.90
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,23,11.33,5.29,4150,1.88
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

