List File,40-JUNE30-R2.lst
Start Time,2016-06-30  17:51:11
Sampling Time,1 min 27 sec

Count,219
Particles / ml,6103

Efficiency,16.3%
PPUI,1.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),52.60,19.60,220.95,27.38,52.04
Aspect Ratio,0.85,0.30,0.99,0.12,14.20
Circle Fit,0.81,0.21,0.95,0.13,16.05
Circularity (Hu),0.94,0.37,1.00,0.09,9.08
Compactness,1.41,1.00,7.97,0.63,44.52
Diameter (ABD),7.95,5.00,16.77,1.94,24.41
Diameter (ESD),9.05,5.47,21.00,2.29,25.34
Elongation,2.01,1.00,22.99,2.04,101.28
Geodesic Aspect Ratio,0.72,0.04,1.00,0.31,43.68
Geodesic Length,12.21,6.05,38.26,5.72,46.87
Geodesic Thickness,7.27,1.53,12.96,1.96,26.92
Image Height,30.48,22.00,57.00,4.59,15.07
Image Width,30.58,20.00,53.00,4.69,15.34
Intensity,140.96,107.10,176.25,13.07,9.27
Length,10.12,5.82,27.50,2.86,28.28
Perimeter,38.96,24.20,90.56,10.54,27.06
Roughness,1.20,1.03,1.70,0.15,12.80
Sigma Intensity,32.70,6.62,58.77,12.35,37.77
Sum Intensity,40646.15,17263.00,1.15e+005,15300.79,37.64
Transparency,0.12,0.03,0.53,0.07,56.69
Volume (ABD),313.52,65.29,2470.58,272.07,86.78
Width,7.76,3.04,17.12,1.89,24.35

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,10,4.57,0.93,279,0.03
6-7um,28,12.79,4.05,780,0.12
7-8um,44,20.09,9.37,1226,0.27
8-9um,36,16.44,11.26,1003,0.32
0-5um,0,0.00,0.00,0.00,0.00
5-10um,152,69.41,39.96,4236,1.15
10-15um,64,29.22,51.27,1783,1.47
15-20um,1,0.46,3.55,28,0.10
20-25um,1,0.46,4.70,28,0.14
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,32,14.61,13.81,892,0.40
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

