List File,42-JULY1-R2.lst
Start Time,2016-07-01  12:24:37
Sampling Time,1 min 24 sec

Count,158
Particles / ml,4595

Efficiency,16.4%
PPUI,1.10

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),66.82,21.04,384.48,49.74,74.43
Aspect Ratio,0.83,0.38,1.00,0.13,15.62
Circle Fit,0.74,0.12,0.95,0.18,23.88
Circularity (Hu),0.92,0.49,1.00,0.10,10.70
Compactness,1.65,1.00,5.07,0.73,44.15
Diameter (ABD),8.78,5.18,22.13,2.83,32.21
Diameter (ESD),10.35,5.51,26.80,3.66,35.33
Elongation,2.77,1.00,13.86,2.41,87.00
Geodesic Aspect Ratio,0.60,0.07,1.00,0.35,57.60
Geodesic Length,15.99,6.05,67.90,10.20,63.79
Geodesic Thickness,7.00,2.40,16.62,2.24,31.98
Image Height,32.96,24.00,72.00,7.24,21.98
Image Width,32.72,23.00,61.00,6.84,20.89
Intensity,139.00,99.24,167.65,13.79,9.92
Length,11.72,5.98,31.79,4.39,37.45
Perimeter,45.97,24.20,145.59,19.34,42.07
Roughness,1.24,1.03,2.20,0.20,15.73
Sigma Intensity,34.48,6.63,55.06,9.47,27.45
Sum Intensity,47289.38,17574.00,2.04e+005,24718.44,52.27
Transparency,0.14,0.03,0.36,0.07,49.97
Volume (ABD),482.03,72.59,5671.20,648.78,134.59
Width,8.63,4.70,20.47,2.89,33.46

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,1.90,0.23,87,0.01
6-7um,16,10.13,1.82,465,0.07
7-8um,29,18.35,4.89,843,0.19
8-9um,21,13.29,5.13,611,0.20
0-5um,0,0.00,0.00,0.00,0.00
5-10um,84,53.16,16.98,2443,0.65
10-15um,57,36.08,41.00,1658,1.56
15-20um,10,6.33,18.64,291,0.71
20-25um,2,1.27,8.13,58,0.31
25-30um,2,1.27,14.84,58,0.57
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,15,9.49,4.92,436,0.19
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

