List File,44-JULY1.lst
Start Time,2016-07-01  12:29:09
Sampling Time,1 min 27 sec

Count,207
Particles / ml,5818

Efficiency,16.4%
PPUI,1.13

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),61.55,19.60,228.94,40.94,66.52
Aspect Ratio,0.82,0.43,0.99,0.12,15.22
Circle Fit,0.74,0.20,0.94,0.16,21.01
Circularity (Hu),0.92,0.42,1.00,0.09,9.55
Compactness,1.60,1.00,4.79,0.62,38.90
Diameter (ABD),8.46,5.00,17.07,2.61,30.81
Diameter (ESD),9.92,5.53,22.02,3.26,32.88
Elongation,2.61,1.00,12.96,2.08,79.44
Geodesic Aspect Ratio,0.59,0.08,1.00,0.33,55.46
Geodesic Length,15.14,6.05,56.71,8.41,55.55
Geodesic Thickness,6.82,1.95,14.88,2.06,30.19
Image Height,32.44,22.00,61.00,6.71,20.68
Image Width,31.89,23.00,54.00,6.06,19.01
Intensity,141.92,108.47,179.99,13.79,9.72
Length,11.34,5.76,26.99,3.95,34.78
Perimeter,43.92,24.20,124.51,16.10,36.66
Roughness,1.24,1.04,1.95,0.17,13.92
Sigma Intensity,32.65,4.32,52.53,10.94,33.50
Sum Intensity,45372.23,20035.00,1.33e+005,21822.69,48.10
Transparency,0.14,0.04,0.43,0.06,44.27
Volume (ABD),417.07,65.29,2605.75,447.32,107.25
Width,8.24,4.14,18.72,2.59,31.45

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,2.42,0.36,141,0.01
6-7um,25,12.08,2.52,703,0.10
7-8um,39,18.84,6.19,1096,0.25
8-9um,31,14.98,6.95,871,0.28
0-5um,0,0.00,0.00,0.00,0.00
5-10um,124,59.90,23.04,3485,0.93
10-15um,64,30.92,40.67,1799,1.64
15-20um,15,7.25,28.93,422,1.16
20-25um,2,0.97,7.35,56,0.30
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,21,10.14,6.64,590,0.27
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

