List File,48-JULY4-R2.lst
Start Time,2016-07-04  13:43:20
Sampling Time,24 sec

Count,589
Particles / ml,57001

Efficiency,8.8%
PPUI,2.44

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),46.17,19.60,464.19,34.27,74.24
Aspect Ratio,0.85,0.23,1.00,0.11,12.54
Circle Fit,0.81,0.00,0.96,0.13,15.96
Circularity (Hu),0.95,0.36,1.00,0.07,7.25
Compactness,1.39,1.00,6.17,0.48,34.15
Diameter (ABD),7.39,5.00,24.31,2.03,27.41
Diameter (ESD),8.47,5.23,32.46,2.78,32.76
Elongation,1.93,1.00,17.33,1.56,80.96
Geodesic Aspect Ratio,0.72,0.06,1.00,0.31,42.75
Geodesic Length,11.74,5.77,75.83,7.15,60.92
Geodesic Thickness,6.82,3.02,12.26,1.54,22.65
Image Height,29.88,22.00,79.00,5.74,19.20
Image Width,29.14,23.00,90.00,5.14,17.63
Intensity,139.79,100.77,172.52,14.13,10.11
Length,9.54,5.58,48.86,3.67,38.44
Perimeter,37.10,23.10,166.53,13.64,36.77
Roughness,1.18,1.03,1.84,0.14,11.43
Sigma Intensity,33.67,4.22,52.67,11.89,35.30
Sum Intensity,36591.43,15305.00,3.14e+005,20285.00,55.44
Transparency,0.12,0.03,0.50,0.06,48.19
Volume (ABD),272.08,65.29,7523.38,456.01,167.60
Width,7.19,4.14,25.67,1.95,27.10

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,27,4.58,0.93,2613,0.24
6-7um,127,21.56,6.96,12290,1.83
7-8um,158,26.83,12.66,15290,3.33
8-9um,105,17.83,12.45,10161,3.28
0-5um,0,0.00,0.00,0.00,0.00
5-10um,492,83.53,44.55,47613,12
10-15um,80,13.58,23.89,7742,6.29
15-20um,7,1.19,6.92,677,1.82
20-25um,4,0.68,8.43,387,2.22
25-30um,1,0.17,3.37,97,0.89
30-35um,2,0.34,12.84,194,3.38
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,70,11.88,11.22,6774,2.95
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

