List File,5-JUNE30.lst
Start Time,2016-06-30  17:39:16
Sampling Time,1 min 22 sec

Count,210
Particles / ml,6205

Efficiency,16.4%
PPUI,1.12

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.65,19.81,156.51,22.68,43.92
Aspect Ratio,0.86,0.37,0.99,0.11,12.51
Circle Fit,0.81,0.13,0.95,0.12,14.43
Circularity (Hu),0.95,0.47,1.00,0.07,7.05
Compactness,1.37,1.00,3.21,0.41,29.72
Diameter (ABD),7.94,5.02,14.12,1.65,20.83
Diameter (ESD),8.99,5.57,16.42,1.89,20.99
Elongation,1.86,1.00,7.95,1.34,71.63
Geodesic Aspect Ratio,0.72,0.13,1.00,0.30,41.97
Geodesic Length,11.80,6.10,34.58,4.50,38.09
Geodesic Thickness,7.37,2.42,13.63,1.94,26.36
Image Height,30.43,23.00,50.00,3.78,12.41
Image Width,30.49,23.00,48.00,3.88,12.73
Intensity,140.71,93.93,200.71,13.72,9.75
Length,9.98,6.22,21.80,2.33,23.40
Perimeter,38.35,24.39,78.13,8.09,21.10
Roughness,1.19,1.04,1.70,0.14,11.97
Sigma Intensity,34.74,6.42,52.18,10.44,30.05
Sum Intensity,40031.10,19118.00,94914.00,12751.52,31.85
Transparency,0.12,0.03,0.31,0.06,51.86
Volume (ABD),297.96,66.31,1472.89,212.62,71.36
Width,7.77,4.43,14.09,1.57,20.21

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,0.95,0.20,59,0.01
6-7um,21,10.00,3.35,620,0.09
7-8um,42,20.00,10.30,1241,0.28
8-9um,48,22.86,16.82,1418,0.45
0-5um,0,0.00,0.00,0.00,0.00
5-10um,160,76.19,53.09,4728,1.43
10-15um,46,21.90,37.59,1359,1.01
15-20um,4,1.90,9.31,118,0.25
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,46,21.90,22.23,1359,0.60
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

