List File,50-JUNE30.lst
Start Time,2016-06-30  16:11:34
Sampling Time,50 sec

Count,101
Particles / ml,4714

Efficiency,10.3%
PPUI,1.25

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),54.52,20.63,218.29,31.40,57.60
Aspect Ratio,0.85,0.15,0.99,0.13,15.72
Circle Fit,0.79,0.00,0.95,0.16,19.94
Circularity (Hu),0.94,0.23,1.00,0.10,10.33
Compactness,1.41,1.01,5.29,0.52,36.52
Diameter (ABD),8.06,5.12,16.67,2.10,26.09
Diameter (ESD),9.30,5.50,22.74,2.95,31.74
Elongation,1.98,1.00,14.54,1.70,85.88
Geodesic Aspect Ratio,0.70,0.07,1.00,0.31,44.02
Geodesic Length,12.61,6.13,44.26,6.60,52.34
Geodesic Thickness,7.28,3.04,12.38,1.86,25.59
Image Height,31.26,24.00,63.00,5.93,18.96
Image Width,30.96,24.00,68.00,5.92,19.13
Intensity,139.15,114.06,176.76,11.17,8.03
Length,10.52,6.03,33.39,4.11,39.08
Perimeter,39.79,24.53,94.60,12.55,31.54
Roughness,1.20,1.04,1.60,0.14,11.76
Sigma Intensity,34.00,4.58,48.12,11.46,33.72
Sum Intensity,41500.51,19372.00,1.42e+005,18866.25,45.46
Transparency,0.12,0.03,0.53,0.07,54.46
Volume (ABD),336.04,70.47,2426.12,329.85,98.16
Width,7.77,4.58,12.84,1.81,23.26

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,2,1.98,0.33,93,0.01
6-7um,17,16.83,4.42,793,0.12
7-8um,16,15.84,5.99,747,0.16
8-9um,21,20.79,11.83,980,0.32
0-5um,0,0.00,0.00,0.00,0.00
5-10um,71,70.30,33.69,3313,0.91
10-15um,25,24.75,35.99,1167,0.97
15-20um,2,1.98,9.20,93,0.25
20-25um,2,1.98,21.11,93,0.57
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,15,14.85,11.13,700,0.30
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

