List File,9.lst
Start Time,2016-07-06  13:38:50
Sampling Time,35 sec

Count,62
Particles / ml,4080

Efficiency,8.7%
PPUI,1.32

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.53,21.04,348.33,93.22,84.34
Aspect Ratio,0.84,0.34,0.99,0.14,16.55
Circle Fit,0.77,0.26,0.95,0.13,17.30
Circularity (Hu),0.94,0.53,1.00,0.09,9.30
Compactness,1.54,1.02,3.60,0.44,28.71
Diameter (ABD),10.96,5.18,21.06,4.59,41.87
Diameter (ESD),12.43,5.64,23.39,4.96,39.94
Elongation,2.40,1.00,9.19,1.50,62.32
Geodesic Aspect Ratio,0.54,0.11,1.00,0.27,48.92
Geodesic Length,18.09,6.16,50.35,9.10,50.31
Geodesic Thickness,8.24,2.24,19.66,2.93,35.55
Image Height,36.95,24.00,59.00,8.90,24.09
Image Width,36.74,23.00,63.00,9.70,26.40
Intensity,129.66,88.14,167.63,17.82,13.74
Length,13.95,6.28,26.98,5.55,39.83
Perimeter,52.67,24.66,113.57,20.62,39.14
Roughness,1.20,1.05,1.64,0.12,9.76
Sigma Intensity,37.29,8.39,53.31,9.91,26.59
Sum Intensity,63128.53,21285.00,1.61e+005,37745.03,59.79
Transparency,0.12,0.03,0.42,0.06,51.64
Volume (ABD),1083.61,72.59,4890.57,1336.53,123.34
Width,10.69,2.43,21.28,4.58,42.84

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,1.61,0.11,66,0.01
6-7um,2,3.23,0.34,132,0.02
7-8um,8,12.90,2.11,526,0.12
8-9um,8,12.90,3.06,526,0.18
0-5um,0,0.00,0.00,0.00,0.00
5-10um,26,41.94,9.07,1711,0.53
10-15um,17,27.42,19.70,1119,1.15
15-20um,9,14.52,31.60,592,1.84
20-25um,6,9.68,39.63,395,2.31
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,7,11.29,3.45,461,0.20
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

