List File,20.lst
Start Time,2016-08-13  11:18:08
Sampling Time,33 sec

Count,1715
Particles / ml,121298

Efficiency,8.5%
PPUI,4.41

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),92.38,19.60,1137.86,61.68,66.77
Aspect Ratio,0.86,0.36,1.00,0.10,11.97
Circle Fit,0.77,0.00,0.96,0.12,15.80
Circularity (Hu),0.95,0.46,1.00,0.06,5.97
Compactness,1.61,1.00,6.88,0.55,34.15
Diameter (ABD),10.42,5.00,38.06,3.02,28.97
Diameter (ESD),11.81,5.70,55.62,3.62,30.63
Elongation,2.64,1.00,19.57,1.87,70.79
Geodesic Aspect Ratio,0.56,0.05,1.00,0.31,56.24
Geodesic Length,18.12,6.16,163.27,9.92,54.74
Geodesic Thickness,7.80,2.54,18.89,2.20,28.21
Image Height,35.83,24.00,99.00,6.95,19.38
Image Width,35.33,23.00,133.00,6.82,19.30
Intensity,119.38,69.22,182.34,20.08,16.82
Length,13.15,6.11,70.74,4.20,31.93
Perimeter,51.85,24.66,343.22,19.14,36.91
Roughness,1.21,1.03,2.35,0.16,13.33
Sigma Intensity,37.79,15.25,62.41,8.40,22.22
Sum Intensity,53965.20,15535.00,4.74e+005,30517.10,56.55
Transparency,0.11,0.03,0.33,0.05,42.89
Volume (ABD),760.78,65.29,28873.44,1038.71,136.53
Width,10.26,3.84,41.39,3.10,30.23

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.06,0.01,71,0.01
6-7um,46,2.68,0.35,3253,0.47
7-8um,99,5.77,1.20,7002,1.62
8-9um,192,11.20,3.30,13580,4.45
0-5um,0,0.00,0.00,0.00,0.00
5-10um,590,34.40,10.82,41729,15
10-15um,772,45.01,38.16,54602,51
15-20um,242,14.11,32.60,17116,44
20-25um,39,2.27,10.49,2758,14
25-30um,1,0.06,0.57,71,0.77
30-35um,2,0.12,2.21,141,2.98
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,1,0.06,4.72,71,6.37
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,245,14.29,5.84,17328,7.88
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

