List File,3B.lst
Start Time,2016-08-13  13:13:54
Sampling Time,32 sec

Count,11170
Particles / ml,1986065

Efficiency,3.5%
PPUI,73.01

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),57.31,19.60,601.32,32.09,55.98
Aspect Ratio,0.82,0.11,1.00,0.12,15.11
Circle Fit,0.72,0.00,0.95,0.15,20.63
Circularity (Hu),0.91,0.18,1.00,0.09,10.07
Compactness,1.88,1.00,8.62,0.81,43.05
Diameter (ABD),8.28,5.00,27.67,2.10,25.35
Diameter (ESD),9.91,5.37,32.90,2.87,28.93
Elongation,3.53,1.00,25.03,2.68,75.97
Geodesic Aspect Ratio,0.46,0.04,1.00,0.31,67.01
Geodesic Length,17.44,5.89,89.86,9.03,51.80
Geodesic Thickness,5.83,1.58,14.46,1.66,28.38
Image Height,32.44,21.00,78.00,5.87,18.11
Image Width,31.87,21.00,79.00,5.55,17.43
Intensity,135.53,82.83,187.71,18.85,13.91
Length,11.31,5.88,42.49,3.62,31.97
Perimeter,46.54,23.55,189.44,16.58,35.63
Roughness,1.26,1.03,2.43,0.19,15.00
Sigma Intensity,37.32,5.75,61.33,7.75,20.77
Sum Intensity,42980.90,14266.00,3.19e+005,21772.96,50.66
Transparency,0.16,0.03,0.55,0.06,39.89
Volume (ABD),360.51,65.29,11092.18,349.78,97.02
Width,8.22,1.93,28.29,2.13,25.96

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,31,0.28,0.04,5512,0.55
6-7um,1211,10.84,2.53,215320,32
7-8um,1748,15.65,5.50,310800,69
8-9um,1720,15.40,7.86,305822,99
0-5um,0,0.00,0.00,0.00,0.00
5-10um,6312,56.51,25.93,1122295,326
10-15um,3844,34.41,46.30,683476,583
15-20um,513,4.59,19.51,91213,246
20-25um,98,0.88,7.18,17425,90
25-30um,4,0.04,0.63,711,7.89
30-35um,1,0.01,0.26,178,3.31
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1550,13.88,9.80,275595,123
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

