List File,12_copy.lst
Start Time,2016-08-13  11:05:59
Sampling Time,38 sec

Count,11229  of  11229
Particles / ml,840668

Efficiency,7.0%
PPUI,34.60

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),68.06,19.60,334.15,38.41,56.43
Aspect Ratio,0.83,0.30,1.00,0.11,13.63
Circle Fit,0.74,0.00,0.96,0.13,17.30
Circularity (Hu),0.93,0.24,1.00,0.07,7.86
Compactness,1.77,1.00,10.24,0.65,36.62
Diameter (ABD),9.00,5.00,20.63,2.36,26.20
Diameter (ESD),10.53,6.00,22.95,2.95,28.01
Elongation,3.16,1.00,30.12,2.16,68.46
Geodesic Aspect Ratio,0.46,0.03,1.00,0.29,61.71
Geodesic Length,17.74,6.36,79.03,8.42,47.47
Geodesic Thickness,6.37,1.86,17.34,1.76,27.59
Image Height,33.78,21.00,68.00,6.08,18.00
Image Width,32.77,21.00,65.00,5.46,16.67
Intensity,134.75,81.14,203.29,18.67,13.85
Length,11.88,6.28,29.64,3.59,30.23
Perimeter,48.21,25.44,164.78,15.87,32.92
Roughness,1.24,1.02,2.54,0.17,13.45
Sigma Intensity,39.58,4.54,59.20,7.03,17.77
Sum Intensity,48855.99,13828.00,2.40e+005,25175.56,51.53
Transparency,0.14,0.03,0.56,0.05,36.72
Volume (ABD),468.11,65.29,4594.86,434.32,92.78
Width,8.91,3.79,21.95,2.34,26.29

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,789,7.03,1.35,59069,8.76
7-8um,1301,11.59,3.37,97400,22
8-9um,1733,15.43,6.48,129742,42
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5591,49.79,20.32,418575,132
10-15um,4766,42.44,49.96,356810,324
15-20um,702,6.25,20.98,52556,136
20-25um,143,1.27,8.47,10706,55
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1733,15.43,8.99,129742,58
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

