List File,39B_copy.lst
Start Time,2016-08-13  13:20:48
Sampling Time,19 sec

Count,3911  of  3911
Particles / ml,554382

Efficiency,7.6%
PPUI,20.33

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),68.94,19.60,264.28,31.36,45.49
Aspect Ratio,0.84,0.17,1.00,0.10,12.10
Circle Fit,0.76,0.02,0.96,0.12,15.13
Circularity (Hu),0.94,0.25,1.00,0.07,7.82
Compactness,1.69,1.00,5.87,0.61,36.30
Diameter (ABD),9.15,5.00,18.34,2.01,21.97
Diameter (ESD),10.57,6.02,22.97,2.45,23.14
Elongation,2.88,1.00,16.40,2.06,71.34
Geodesic Aspect Ratio,0.51,0.06,1.00,0.30,58.77
Geodesic Length,16.91,6.49,62.34,7.48,44.25
Geodesic Thickness,6.83,1.87,15.92,1.88,27.54
Image Height,33.59,23.00,67.00,5.00,14.89
Image Width,33.06,21.00,62.00,4.68,14.17
Intensity,131.70,83.36,208.66,19.79,15.02
Length,11.83,6.48,29.50,2.89,24.43
Perimeter,47.47,25.95,134.40,13.45,28.34
Roughness,1.23,1.03,2.17,0.16,12.78
Sigma Intensity,38.48,2.45,56.67,8.01,20.81
Sum Intensity,48295.70,15371.00,1.61e+005,21737.81,45.01
Transparency,0.13,0.03,0.54,0.06,43.47
Volume (ABD),462.14,65.29,3231.92,333.40,72.14
Width,9.08,2.27,17.89,2.10,23.18

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,169,4.32,0.89,23956,3.55
7-8um,373,9.54,2.95,52873,12
8-9um,566,14.47,6.50,80230,26
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1745,44.62,20.36,247353,82
10-15um,1984,50.73,63.73,281231,255
15-20um,154,3.94,12.96,21829,52
20-25um,15,0.38,2.72,2126,11
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,622,15.90,9.88,88168,40
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

