List File,3.lst
Start Time,2016-07-10  18:03:27
Sampling Time,37 sec

Count,10642
Particles / ml,719451

Efficiency,8.0%
PPUI,25.83

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),59.64,19.60,838.29,40.20,67.41
Aspect Ratio,0.82,0.34,1.00,0.12,14.51
Circle Fit,0.75,0.00,0.96,0.13,16.89
Circularity (Hu),0.93,0.24,1.00,0.07,7.69
Compactness,1.64,1.00,9.21,0.56,34.42
Diameter (ABD),8.34,5.00,32.67,2.51,30.13
Diameter (ESD),9.72,5.25,36.82,3.04,31.24
Elongation,2.71,1.00,26.89,1.91,70.41
Geodesic Aspect Ratio,0.53,0.04,1.00,0.30,55.98
Geodesic Length,15.50,5.74,75.51,7.80,50.30
Geodesic Thickness,6.45,1.79,17.50,1.77,27.36
Image Height,32.12,19.00,86.00,5.96,18.54
Image Width,31.51,22.00,77.00,5.85,18.56
Intensity,143.69,89.33,197.57,15.94,11.09
Length,11.00,5.50,45.01,3.63,32.97
Perimeter,43.91,22.96,162.63,15.10,34.38
Roughness,1.23,1.03,2.43,0.16,12.87
Sigma Intensity,39.34,5.76,54.94,7.23,18.37
Sum Intensity,46871.71,14772.00,4.13e+005,27244.66,58.13
Transparency,0.14,0.03,0.57,0.05,36.33
Volume (ABD),397.55,65.29,18258.12,481.63,121.15
Width,8.13,3.59,29.72,2.48,30.52

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,403,3.79,0.58,27245,2.69
6-7um,1533,14.41,3.31,103638,15
7-8um,1690,15.88,5.49,114252,25
8-9um,1469,13.80,6.92,99312,32
0-5um,0,0.00,0.00,0.00,0.00
5-10um,6428,60.40,24.92,434564,115
10-15um,3565,33.50,47.24,241011,217
15-20um,544,5.11,20.04,36777,92
20-25um,71,0.67,5.65,4800,26
25-30um,11,0.10,1.48,744,6.81
30-35um,1,0.01,0.26,68,1.18
35-40um,1,0.01,0.38,68,1.77
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1277,12.00,8.40,86331,39
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

