List File,42-r2.lst
Start Time,2016-07-10  18:37:08
Sampling Time,33 sec

Count,7884
Particles / ml,587792

Efficiency,8.2%
PPUI,21.08

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),62.65,19.60,578.08,36.40,58.10
Aspect Ratio,0.84,0.31,1.00,0.10,12.25
Circle Fit,0.77,0.00,0.96,0.11,14.19
Circularity (Hu),0.94,0.22,1.00,0.06,6.15
Compactness,1.62,1.00,8.04,0.57,35.30
Diameter (ABD),8.61,5.00,27.13,2.36,27.42
Diameter (ESD),9.92,5.25,32.98,2.79,28.10
Elongation,2.65,1.00,23.21,1.93,72.54
Geodesic Aspect Ratio,0.54,0.04,1.00,0.29,54.57
Geodesic Length,15.67,5.74,77.63,7.55,48.20
Geodesic Thickness,6.68,1.48,15.40,1.80,26.96
Image Height,32.49,20.00,90.00,5.55,17.08
Image Width,31.88,20.00,75.00,5.31,16.65
Intensity,143.00,88.43,205.63,15.62,10.92
Length,11.12,5.43,41.89,3.22,28.96
Perimeter,44.70,22.96,164.65,14.43,32.29
Roughness,1.23,1.03,2.28,0.17,13.43
Sigma Intensity,38.87,3.61,55.03,7.17,18.45
Sum Intensity,48469.77,15346.00,3.26e+005,25003.29,51.59
Transparency,0.13,0.03,0.58,0.05,36.38
Volume (ABD),416.01,65.29,10455.48,402.53,96.76
Width,8.45,3.00,23.94,2.44,28.84

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,251,3.18,0.49,18713,1.84
6-7um,896,11.36,2.58,66801,9.75
7-8um,966,12.25,4.24,72020,16
8-9um,1124,14.26,7.17,83800,27
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4418,56.04,24.79,329384,94
10-15um,3109,39.43,56.11,231792,212
15-20um,293,3.72,13.44,21845,51
20-25um,35,0.44,4.00,2609,15
25-30um,6,0.08,1.15,447,4.36
30-35um,1,0.01,0.37,75,1.40
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1145,14.52,10.13,85366,38
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

