List File,39B-R3_copy.lst
Start Time,2016-07-10  12:37:37
Sampling Time,36 sec

Count,4381  of  4381
Particles / ml,295040

Efficiency,8.1%
PPUI,18.63

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),46.05,19.60,432.39,20.84,45.24
Aspect Ratio,0.83,0.15,1.00,0.10,11.99
Circle Fit,0.77,0.00,0.96,0.11,14.27
Circularity (Hu),0.93,0.15,1.00,0.06,6.49
Compactness,1.54,1.00,7.59,0.55,35.47
Diameter (ABD),7.51,5.00,23.46,1.51,20.08
Diameter (ESD),8.67,5.25,26.62,1.91,22.08
Elongation,2.39,1.00,21.80,1.84,77.23
Geodesic Aspect Ratio,0.60,0.05,1.00,0.31,51.01
Geodesic Length,13.11,5.77,55.85,5.92,45.17
Geodesic Thickness,6.37,1.44,13.17,1.57,24.61
Image Height,30.38,20.00,66.00,4.11,13.52
Image Width,29.44,22.00,65.00,3.76,12.78
Intensity,135.04,82.24,181.63,16.01,11.86
Length,9.82,5.48,30.22,2.39,24.32
Perimeter,38.97,23.10,118.07,10.38,26.64
Roughness,1.18,1.02,2.13,0.13,11.01
Sigma Intensity,34.97,8.73,53.34,8.77,25.07
Sum Intensity,35877.78,13663.00,1.80e+005,14014.91,39.06
Transparency,0.13,0.03,0.64,0.05,39.09
Volume (ABD),251.02,65.29,6763.54,210.40,83.82
Width,7.29,3.40,23.07,1.50,20.64

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,91,2.08,0.52,6128,0.61
6-7um,632,14.43,5.46,42562,6.41
7-8um,1079,24.63,13.80,72666,16
8-9um,1015,23.17,18.55,68356,22
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3512,80.16,55.73,236517,65
10-15um,823,18.79,37.17,55425,44
15-20um,38,0.87,5.19,2559,6.08
20-25um,4,0.09,1.25,269,1.47
25-30um,1,0.02,0.57,67,0.67
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,663,15.13,16.98,44650,20
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

