List File,40-r3_copy.lst
Start Time,2016-07-10  18:19:04
Sampling Time,36 sec

Count,4486  of  4486
Particles / ml,298854

Efficiency,8.3%
PPUI,14.17

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),59.43,20.01,413.63,28.54,48.01
Aspect Ratio,0.83,0.23,1.00,0.10,12.58
Circle Fit,0.77,0.00,0.95,0.11,14.76
Circularity (Hu),0.94,0.30,1.00,0.06,6.39
Compactness,1.54,1.00,7.20,0.48,31.46
Diameter (ABD),8.50,5.05,22.95,1.85,21.79
Diameter (ESD),9.74,5.29,25.93,2.32,23.82
Elongation,2.36,1.00,20.57,1.65,70.01
Geodesic Aspect Ratio,0.59,0.05,1.00,0.30,51.05
Geodesic Length,14.51,5.77,60.92,6.71,46.25
Geodesic Thickness,6.96,2.34,13.87,1.66,23.87
Image Height,32.22,24.00,85.00,4.69,14.55
Image Width,31.45,19.00,67.00,4.70,14.96
Intensity,129.35,80.88,185.31,15.39,11.90
Length,11.03,5.76,38.96,2.84,25.74
Perimeter,42.94,23.10,127.77,12.16,28.31
Roughness,1.18,1.02,2.32,0.12,10.60
Sigma Intensity,35.58,10.10,57.99,7.88,22.15
Sum Intensity,41905.65,14090.00,2.28e+005,18424.92,43.97
Transparency,0.12,0.03,0.50,0.05,38.44
Volume (ABD),371.54,67.34,6328.29,304.81,82.04
Width,8.21,2.49,22.06,1.88,22.88

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,27,0.60,0.10,1799,0.18
6-7um,223,4.97,1.32,14856,2.28
7-8um,675,15.05,5.98,44968,10
8-9um,1063,23.70,13.19,70816,23
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2873,64.04,35.77,191397,62
10-15um,1472,32.81,49.26,98064,85
15-20um,123,2.74,11.81,8194,20
20-25um,11,0.25,2.36,733,4.07
25-30um,2,0.04,0.70,133,1.21
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,869,19.37,15.00,57892,26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

