List File,44.lst
Start Time,2016-07-11  18:42:29
Sampling Time,1 min 2 sec

Count,20213
Particles / ml,759825

Efficiency,8.7%
PPUI,27.17

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),69.96,19.60,390.25,40.93,58.50
Aspect Ratio,0.83,0.27,1.00,0.11,13.46
Circle Fit,0.76,0.00,0.96,0.12,15.52
Circularity (Hu),0.94,0.18,1.00,0.06,6.77
Compactness,1.63,1.00,11.63,0.58,35.47
Diameter (ABD),9.07,5.00,22.29,2.60,28.66
Diameter (ESD),10.43,5.23,26.79,3.02,28.97
Elongation,2.67,1.00,34.52,1.96,73.14
Geodesic Aspect Ratio,0.54,0.03,1.00,0.29,54.66
Geodesic Length,16.39,5.77,71.00,7.89,48.15
Geodesic Thickness,6.97,1.43,17.40,2.03,29.09
Image Height,33.46,21.00,72.00,5.97,17.85
Image Width,32.75,21.00,77.00,5.69,17.38
Intensity,145.77,88.35,193.56,15.74,10.80
Length,11.67,5.48,35.13,3.49,29.90
Perimeter,46.73,23.10,152.55,15.26,32.66
Roughness,1.24,1.02,2.57,0.18,14.32
Sigma Intensity,41.39,3.09,57.07,6.34,15.31
Sum Intensity,54016.52,15118.00,2.44e+005,28373.06,52.53
Transparency,0.13,0.04,0.58,0.05,36.57
Volume (ABD),493.12,65.29,5799.28,450.20,91.30
Width,8.90,4.14,22.94,2.66,29.85

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,571,2.82,0.37,21464,2.09
6-7um,2053,10.16,1.98,77174,11
7-8um,2340,11.58,3.40,87963,19
8-9um,2137,10.57,4.54,80332,26
0-5um,0,0.00,0.00,0.00,0.00
5-10um,9630,47.64,17.64,362000,101
10-15um,9047,44.76,56.36,340085,322
15-20um,1340,6.63,20.57,50372,118
20-25um,131,0.65,4.79,4924,27
25-30um,8,0.04,0.47,301,2.67
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2438,12.06,7.21,91647,41
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

