List File,42_copy.lst
Start Time,2016-07-11  18:39:25
Sampling Time,1 min 4 sec

Count,18424  of  18424
Particles / ml,669190

Efficiency,8.7%
PPUI,24.94

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),70.85,19.60,398.77,40.70,57.45
Aspect Ratio,0.83,0.29,1.00,0.11,12.88
Circle Fit,0.76,0.00,0.96,0.11,14.62
Circularity (Hu),0.94,0.16,1.00,0.06,6.54
Compactness,1.63,1.00,13.00,0.61,37.39
Diameter (ABD),9.15,5.00,22.53,2.56,27.97
Diameter (ESD),10.50,5.25,26.87,2.95,28.14
Elongation,2.68,1.00,38.83,2.05,76.63
Geodesic Aspect Ratio,0.53,0.03,1.00,0.29,54.18
Geodesic Length,16.45,5.77,80.15,7.87,47.82
Geodesic Thickness,7.03,1.42,18.84,2.07,29.43
Image Height,33.51,20.00,72.00,5.78,17.25
Image Width,32.93,21.00,76.00,5.66,17.17
Intensity,145.55,85.46,205.01,16.23,11.15
Length,11.74,5.48,35.42,3.37,28.68
Perimeter,46.97,23.10,167.91,15.18,32.31
Roughness,1.24,1.02,2.55,0.18,14.60
Sigma Intensity,41.03,2.89,59.04,6.71,16.36
Sum Intensity,54500.85,14845.00,2.66e+005,28448.27,52.20
Transparency,0.13,0.04,0.64,0.05,37.23
Volume (ABD),500.40,65.29,5990.25,453.22,90.57
Width,8.98,4.14,23.58,2.66,29.63

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,489,2.65,0.34,17761,1.74
6-7um,1524,8.27,1.59,55354,8.11
7-8um,1894,10.28,2.98,68793,15
8-9um,2226,12.08,5.13,80852,26
0-5um,0,0.00,0.00,0.00,0.00
5-10um,8733,47.40,18.25,317197,93
10-15um,8363,45.39,56.73,303758,289
15-20um,1181,6.41,19.83,42896,101
20-25um,102,0.55,4.11,3705,21
25-30um,14,0.08,0.89,509,4.55
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2518,13.67,8.06,91458,41
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

