List File,-R3.lst
Start Time,2016-07-14  12:16:55
Sampling Time,35 sec

Count,1172
Particles / ml,76052

Efficiency,8.7%
PPUI,2.92

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.55,20.01,396.02,60.86,55.05
Aspect Ratio,0.86,0.33,1.00,0.10,12.02
Circle Fit,0.75,0.00,0.95,0.13,17.89
Circularity (Hu),0.94,0.15,1.00,0.08,8.84
Compactness,1.90,1.00,9.28,1.02,54.04
Diameter (ABD),11.45,5.05,22.45,3.12,27.23
Diameter (ESD),13.14,5.63,26.85,3.61,27.50
Elongation,3.54,1.00,27.11,3.36,94.95
Geodesic Aspect Ratio,0.45,0.04,1.00,0.26,59.00
Geodesic Length,22.33,6.13,86.15,11.62,52.05
Geodesic Thickness,7.75,1.44,19.49,2.47,31.91
Image Height,38.62,23.00,76.00,7.02,18.18
Image Width,37.43,23.00,70.00,6.66,17.79
Intensity,140.52,94.67,205.34,17.05,12.13
Length,14.44,6.35,35.42,4.17,28.88
Perimeter,60.14,24.53,179.28,21.91,36.43
Roughness,1.33,1.04,2.70,0.27,20.02
Sigma Intensity,43.29,3.00,61.58,6.31,14.57
Sum Intensity,73885.08,19305.00,2.26e+005,35425.64,47.95
Transparency,0.13,0.03,0.63,0.06,46.43
Volume (ABD),968.15,67.34,5928.40,828.57,85.58
Width,11.53,3.70,24.51,3.11,26.94

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.26,0.02,195,0.02
6-7um,14,1.19,0.12,908,0.13
7-8um,26,2.22,0.35,1687,0.39
8-9um,71,6.06,1.36,4607,1.50
0-5um,0,0.00,0.00,0.00,0.00
5-10um,232,19.80,5.01,15055,5.54
10-15um,595,50.77,35.88,38610,40
15-20um,270,23.04,40.45,17521,45
20-25um,45,3.84,14.63,2920,16
25-30um,7,0.60,3.74,454,4.14
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,116,9.90,3.11,7527,3.44
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

