List File,24-R2.lst
Start Time,2016-07-15  17:44:52
Sampling Time,40 sec

Count,21974
Particles / ml,1264523

Efficiency,8.7%
PPUI,45.21

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),61.54,19.60,409.50,32.86,53.41
Aspect Ratio,0.83,0.25,1.00,0.12,14.18
Circle Fit,0.75,0.00,0.96,0.15,19.55
Circularity (Hu),0.92,0.13,1.00,0.09,10.03
Compactness,1.73,1.00,12.56,0.81,47.05
Diameter (ABD),8.61,5.00,22.83,2.06,23.95
Diameter (ESD),10.04,5.27,26.99,2.64,26.29
Elongation,3.00,1.00,37.43,2.69,89.92
Geodesic Aspect Ratio,0.54,0.03,1.00,0.32,58.83
Geodesic Length,16.12,5.77,107.52,8.39,52.04
Geodesic Thickness,6.64,1.19,19.89,1.95,29.40
Image Height,32.78,20.00,75.00,5.56,16.97
Image Width,31.98,20.00,74.00,5.01,15.68
Intensity,138.74,79.10,209.21,25.55,18.42
Length,11.41,5.58,36.38,3.33,29.24
Perimeter,45.51,23.10,221.51,15.09,33.15
Roughness,1.22,1.02,2.75,0.17,14.35
Sigma Intensity,31.10,2.25,59.03,12.99,41.76
Sum Intensity,45517.59,15144.00,2.94e+005,20788.00,45.67
Transparency,0.14,0.03,0.65,0.07,49.92
Volume (ABD),397.49,65.29,6233.71,371.09,93.36
Width,8.42,3.51,24.04,1.97,23.37

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,150,0.68,0.10,8632,0.86
6-7um,1038,4.72,1.09,59733,9.02
7-8um,2641,12.02,4.15,151980,34
8-9um,4629,21.07,10.50,266382,87
0-5um,0,0.00,0.00,0.00,0.00
5-10um,13253,60.31,30.44,762662,253
10-15um,7399,33.67,43.03,425785,357
15-20um,1053,4.79,18.58,60596,154
20-25um,168,0.76,6.48,9668,54
25-30um,20,0.09,1.26,1151,10
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,4693,21.36,14.38,270065,119
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

