List File,29_copy.lst
Start Time,2016-07-16  16:20:26
Sampling Time,37 sec

Count,1611  of  1611
Particles / ml,103671

Efficiency,8.3%
PPUI,6.21

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),99.83,19.81,412.53,58.41,58.51
Aspect Ratio,0.84,0.31,1.00,0.12,14.33
Circle Fit,0.74,0.01,0.95,0.15,20.83
Circularity (Hu),0.93,0.17,1.00,0.09,9.41
Compactness,1.72,1.00,10.76,0.87,50.84
Diameter (ABD),10.88,5.02,22.92,2.97,27.35
Diameter (ESD),12.41,5.41,26.94,3.69,29.76
Elongation,2.97,1.00,31.79,2.88,97.15
Geodesic Aspect Ratio,0.56,0.03,1.00,0.33,58.51
Geodesic Length,19.47,6.05,84.32,11.41,58.60
Geodesic Thickness,8.04,1.44,17.29,2.39,29.70
Image Height,36.94,20.00,73.00,7.29,19.75
Image Width,36.37,22.00,75.00,6.97,19.18
Intensity,122.01,71.54,215.39,23.26,19.06
Length,13.90,5.76,34.05,4.45,32.03
Perimeter,55.00,24.20,178.25,21.22,38.57
Roughness,1.23,1.03,2.63,0.21,16.88
Sigma Intensity,37.66,3.18,63.16,8.39,22.29
Sum Intensity,58922.19,17508.00,2.33e+005,32010.33,54.33
Transparency,0.12,0.03,0.61,0.06,51.72
Volume (ABD),837.50,66.31,6303.02,806.39,96.29
Width,10.59,4.14,23.42,2.91,27.49

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,7,0.43,0.03,450,0.05
6-7um,30,1.86,0.22,1931,0.29
7-8um,66,4.10,0.71,4247,0.95
8-9um,98,6.08,1.54,6306,2.07
0-5um,0,0.00,0.00,0.00,0.00
5-10um,422,26.19,7.28,27156,9.79
10-15um,865,53.69,39.25,55664,53
15-20um,246,15.27,30.04,15831,40
20-25um,56,3.48,15.63,3604,21
25-30um,17,1.06,7.45,1094,10
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,218,13.53,4.73,14029,6.37
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

