List File,8_copy.lst
Start Time,2016-07-17  13:00:06
Sampling Time,37 sec

Count,424  of  424
Particles / ml,26404

Efficiency,8.7%
PPUI,1.77

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),107.43,19.60,437.64,77.72,72.34
Aspect Ratio,0.84,0.23,1.00,0.13,15.06
Circle Fit,0.72,0.05,0.94,0.17,24.11
Circularity (Hu),0.91,0.19,1.00,0.13,14.50
Compactness,2.01,1.00,10.10,1.35,67.20
Diameter (ABD),11.08,5.00,23.61,3.74,33.71
Diameter (ESD),12.87,5.46,26.32,4.50,34.96
Elongation,3.90,1.00,29.68,4.40,112.72
Geodesic Aspect Ratio,0.52,0.03,1.00,0.34,66.61
Geodesic Length,22.12,5.97,99.80,14.34,64.81
Geodesic Thickness,7.70,1.61,17.40,2.79,36.24
Image Height,37.97,21.00,70.00,8.83,23.25
Image Width,37.03,23.00,66.00,8.25,22.29
Intensity,136.01,82.77,210.40,22.69,16.68
Length,14.34,5.88,34.15,5.33,37.14
Perimeter,59.64,23.88,209.01,26.97,45.22
Roughness,1.29,1.04,2.42,0.27,20.68
Sigma Intensity,36.07,2.97,58.69,10.65,29.53
Sum Intensity,68112.89,18283.00,2.38e+005,39646.32,58.21
Transparency,0.13,0.03,0.62,0.08,64.02
Volume (ABD),983.87,65.29,6887.04,1136.76,115.54
Width,11.06,3.24,24.79,3.66,33.15

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.71,0.04,187,0.02
6-7um,5,1.18,0.12,311,0.05
7-8um,23,5.42,0.76,1432,0.31
8-9um,38,8.96,1.88,2366,0.78
0-5um,0,0.00,0.00,0.00,0.00
5-10um,128,30.19,6.85,7971,2.85
10-15um,191,45.05,27.43,11894,11
15-20um,66,15.57,26.54,4110,11
20-25um,28,6.60,24.53,1744,10
25-30um,11,2.59,14.65,685,6.10
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,59,13.92,4.06,3674,1.69
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

