List File,43B.lst
Start Time,2016-07-18  11:07:12
Sampling Time,33 sec

Count,4830
Particles / ml,332720

Efficiency,8.8%
PPUI,11.90

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),59.96,19.60,321.08,34.60,57.71
Aspect Ratio,0.83,0.33,1.00,0.13,15.07
Circle Fit,0.78,0.00,0.96,0.13,16.40
Circularity (Hu),0.94,0.42,1.00,0.07,7.48
Compactness,1.45,1.00,8.44,0.42,28.98
Diameter (ABD),8.43,5.00,20.22,2.30,27.31
Diameter (ESD),9.59,5.27,27.60,2.70,28.12
Elongation,2.09,1.00,24.48,1.40,67.07
Geodesic Aspect Ratio,0.65,0.04,1.00,0.31,47.18
Geodesic Length,13.56,5.77,90.59,6.28,46.32
Geodesic Thickness,7.23,2.25,17.01,1.95,26.93
Image Height,31.60,20.00,69.00,5.26,16.64
Image Width,31.52,22.00,79.00,5.38,17.06
Intensity,143.82,77.78,189.37,14.54,10.11
Length,10.78,5.43,35.94,3.28,30.43
Perimeter,41.58,23.10,188.58,12.30,29.59
Roughness,1.19,1.03,2.18,0.12,10.45
Sigma Intensity,37.33,6.31,56.53,10.19,27.30
Sum Intensity,46681.02,16316.00,2.13e+005,22983.42,49.24
Transparency,0.12,0.02,0.34,0.05,43.15
Volume (ABD),389.26,65.29,4328.00,363.61,93.41
Width,8.08,4.14,20.55,2.22,27.43

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,193,4.00,0.67,13295,1.29
6-7um,697,14.43,3.61,48014,6.98
7-8um,650,13.46,5.10,44776,9.85
8-9um,659,13.64,7.64,45396,15
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2889,59.81,27.92,199012,54
10-15um,1744,36.11,54.54,120137,105
15-20um,160,3.31,13.50,11022,26
20-25um,17,0.35,3.11,1171,6.01
25-30um,2,0.04,0.70,138,1.35
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,668,13.83,10.71,46016,21
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

