List File,46B-R2.lst
Start Time,2016-07-18  11:13:03
Sampling Time,33 sec

Count,2351
Particles / ml,162351

Efficiency,8.7%
PPUI,5.83

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),66.50,19.60,306.15,24.65,37.07
Aspect Ratio,0.87,0.38,1.00,0.10,10.95
Circle Fit,0.82,0.13,0.96,0.10,12.70
Circularity (Hu),0.96,0.46,1.00,0.05,4.83
Compactness,1.35,1.00,5.78,0.35,26.05
Diameter (ABD),9.06,5.00,19.74,1.60,17.62
Diameter (ESD),10.02,5.45,23.27,1.91,19.01
Elongation,1.76,1.00,16.09,1.18,67.15
Geodesic Aspect Ratio,0.74,0.06,1.00,0.29,39.71
Geodesic Length,12.87,6.02,57.67,5.28,41.03
Geodesic Thickness,8.20,2.61,15.71,1.77,21.53
Image Height,32.60,23.00,59.00,3.80,11.67
Image Width,32.03,23.00,64.00,3.99,12.46
Intensity,115.20,75.34,184.77,16.69,14.49
Length,11.14,6.03,28.22,2.36,21.14
Perimeter,42.13,24.07,128.80,9.28,22.03
Roughness,1.13,1.03,1.97,0.09,8.34
Sigma Intensity,33.39,8.90,58.62,6.94,20.79
Sum Intensity,40170.02,14493.00,1.43e+005,13104.49,32.62
Transparency,0.09,0.03,0.34,0.04,47.96
Volume (ABD),427.67,65.29,4029.54,258.85,60.53
Width,8.74,4.68,18.51,1.52,17.43

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,0.26,0.04,414,0.04
6-7um,49,2.08,0.53,3384,0.50
7-8um,202,8.59,3.37,13949,3.22
8-9um,431,18.33,10.33,29763,9.85
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1301,55.34,34.35,89842,33
10-15um,972,41.34,54.72,67123,52
15-20um,57,2.42,9.21,3936,8.78
20-25um,3,0.13,1.17,207,1.12
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,610,25.95,20.00,42124,19
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

