List File,40B_copy.lst
Start Time,2016-07-18  16:09:58
Sampling Time,35 sec

Count,3559  of  3559
Particles / ml,233106

Efficiency,8.7%
PPUI,16.28

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),51.53,19.60,247.91,21.48,41.69
Aspect Ratio,0.84,0.48,1.00,0.09,11.04
Circle Fit,0.79,0.44,0.95,0.09,11.09
Circularity (Hu),0.95,0.67,1.00,0.04,4.46
Compactness,1.44,1.00,4.19,0.38,26.38
Diameter (ABD),7.94,5.00,17.77,1.58,19.89
Diameter (ESD),9.02,5.25,20.99,1.87,20.72
Elongation,2.07,1.00,11.06,1.28,61.90
Geodesic Aspect Ratio,0.65,0.09,1.00,0.31,47.39
Geodesic Length,12.77,5.77,40.92,5.14,40.29
Geodesic Thickness,6.92,2.62,12.93,1.66,23.93
Image Height,30.68,21.00,54.00,3.84,12.52
Image Width,30.36,20.00,52.00,3.75,12.36
Intensity,127.34,83.40,190.43,16.40,12.88
Length,10.14,5.48,25.45,2.17,21.35
Perimeter,39.37,23.10,92.63,9.15,23.24
Roughness,1.16,1.03,1.92,0.11,9.39
Sigma Intensity,33.02,9.10,54.92,8.57,25.96
Sum Intensity,36713.01,14995.00,1.29e+005,13656.18,37.20
Transparency,0.12,0.03,0.34,0.05,42.17
Volume (ABD),295.34,65.29,2936.29,197.93,67.02
Width,7.68,3.54,16.24,1.68,21.89

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,67,1.88,0.43,4388,0.44
6-7um,377,10.59,3.64,24693,3.70
7-8um,692,19.44,10.07,45324,10
8-9um,833,23.41,17.38,54560,18
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2623,73.70,50.03,171800,51
10-15um,913,25.65,47.17,59799,48
15-20um,16,0.45,2.29,1048,2.32
20-25um,1,0.03,0.31,65,0.32
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,631,17.73,18.15,41329,18
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

