List File,42_copy.lst
Start Time,2016-07-09  14:57:09
Sampling Time,39 sec

Count,11631  of  11631
Particles / ml,NA

Efficiency,NA
PPUI,25.34

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),48.23,19.60,328.16,23.07,47.84
Aspect Ratio,0.85,0.34,1.00,0.10,11.71
Circle Fit,0.80,0.03,0.96,0.10,12.96
Circularity (Hu),0.95,0.42,1.00,0.05,5.62
Compactness,1.45,1.00,8.79,0.40,27.39
Diameter (ABD),7.66,5.00,20.44,1.66,21.74
Diameter (ESD),8.76,5.26,26.26,2.04,23.29
Elongation,2.09,1.00,25.58,1.33,63.80
Geodesic Aspect Ratio,0.64,0.04,1.00,0.30,47.19
Geodesic Length,12.59,5.77,66.64,5.36,42.57
Geodesic Thickness,6.69,1.58,13.99,1.53,22.91
Image Height,30.26,21.00,72.00,4.20,13.87
Image Width,29.87,21.00,66.00,4.02,13.46
Intensity,139.19,90.33,187.37,14.55,10.45
Length,9.83,5.58,31.89,2.52,25.63
Perimeter,38.56,23.10,145.91,9.82,25.46
Roughness,1.18,1.02,2.51,0.12,9.86
Sigma Intensity,37.22,5.37,55.85,9.30,24.98
Sum Intensity,38227.59,15237.00,1.96e+005,15611.20,40.84
Transparency,0.12,0.03,0.43,0.05,39.39
Volume (ABD),271.42,65.29,4471.82,224.32,82.65
Width,7.47,4.14,20.17,1.62,21.64

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,388,3.34,0.79,0.00,0.00
6-7um,1682,14.46,5.15,0.00,0.00
7-8um,2517,21.64,11.66,0.00,0.00
8-9um,2592,22.29,17.23,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,9112,78.34,52.30,0.00,0.00
10-15um,2357,20.26,38.77,0.00,0.00
15-20um,127,1.09,6.73,0.00,0.00
20-25um,13,0.11,1.57,0.00,0.00
25-30um,2,0.02,0.38,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1854,15.94,17.01,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

