List File,47-R2_copy.lst
Start Time,2016-07-09  15:10:59
Sampling Time,35 sec

Count,1914  of  1914
Particles / ml,124766

Efficiency,8.7%
PPUI,7.52

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),58.33,19.60,312.66,28.67,49.15
Aspect Ratio,0.84,0.35,1.00,0.10,12.14
Circle Fit,0.80,0.12,0.96,0.10,13.06
Circularity (Hu),0.95,0.55,1.00,0.05,5.32
Compactness,1.39,1.00,4.95,0.37,26.26
Diameter (ABD),8.40,5.00,19.95,1.91,22.68
Diameter (ESD),9.44,5.31,25.54,2.29,24.20
Elongation,1.90,1.00,13.47,1.23,65.07
Geodesic Aspect Ratio,0.69,0.07,1.00,0.30,42.98
Geodesic Length,12.78,5.86,58.10,5.64,44.12
Geodesic Thickness,7.47,2.13,14.51,1.73,23.10
Image Height,31.44,21.00,69.00,4.53,14.41
Image Width,31.09,23.00,73.00,4.62,14.86
Intensity,124.81,82.94,182.49,17.31,13.87
Length,10.61,5.58,32.67,2.81,26.45
Perimeter,40.51,23.42,126.59,10.61,26.20
Roughness,1.15,1.03,1.75,0.10,8.58
Sigma Intensity,34.42,7.05,54.76,8.45,24.56
Sum Intensity,39018.13,15499.00,1.62e+005,15452.22,39.60
Transparency,0.11,0.03,0.36,0.05,42.95
Volume (ABD),362.65,65.29,4158.80,302.98,83.55
Width,8.05,3.59,17.86,1.80,22.42

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,36,1.88,0.35,2347,0.23
6-7um,168,8.78,2.49,10951,1.64
7-8um,286,14.94,6.36,18643,4.19
8-9um,417,21.79,13.26,27183,8.73
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1292,67.50,39.29,84220,26
10-15um,574,29.99,47.12,37417,31
15-20um,38,1.99,9.27,2477,6.11
20-25um,6,0.31,3.30,391,2.17
25-30um,1,0.05,0.86,65,0.57
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,376,19.64,16.59,24510,11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

