temperature,P treatment,replicate,Unique_ID
8,FULL,1,31
8,FULL,2,32
8,FULL,3,33
8,FULL,4,34
8,FULL,5,35
8,DEF,1,6
8,DEF,2,7
8,DEF,3,8
8,DEF,4,9
8,DEF,5,10
12,FULL,1,11
12,FULL,2,12
12,FULL,3,13
12,FULL,4,14
12,FULL,5,15
12,DEF,1,16
12,DEF,2,17
12,DEF,3,18
12,DEF,4,19
12,DEF,5,20
16,FULL,1,21
16,FULL,2,22
16,FULL,3,23
16,FULL,4,24
16,FULL,5,25
16,DEF,1,26
16,DEF,2,27
16,DEF,3,28
16,DEF,4,29
16,DEF,5,30
20,FULL,1,41
20,FULL,2,42
20,FULL,3,43
20,FULL,4,44
20,FULL,5,45
20,DEF,1,46
20,DEF,2,47
20,DEF,3,48
20,DEF,4,49
20,DEF,5,50
24,FULL,1,1
24,FULL,2,2
24,FULL,3,3
24,FULL,4,4
24,FULL,5,5
24,DEF,1,36
24,DEF,2,37
24,DEF,3,38
24,DEF,4,39
24,DEF,5,40
20,FULL,1,41B
20,FULL,2,42B
20,FULL,3,43B
20,FULL,4,44B
20,FULL,5,45B
20,DEF,1,46B
20,DEF,2,47B
20,DEF,3,48B
20,DEF,4,49B
20,DEF,5,50B
24,FULL,1,1B
24,FULL,2,2B
24,FULL,3,3B
24,FULL,4,4B
24,FULL,5,5B
24,DEF,1,36B
24,DEF,2,37B
24,DEF,3,38B
24,DEF,4,39B
24,DEF,5,40B
