Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width
1,30.83,0.87,138.09,137.60,133.92,0.86,0.97,1.15,6.27,6.94,1.00,1.00,7.38,7.38,136.56,7.45,29.54,1.07,35.51,26903.00,0.10,1.287626e+002,6.25
2,27.58,0.89,133.40,132.34,130.16,0.89,0.98,1.11,5.93,6.43,1.00,1.00,6.96,6.96,131.80,6.98,27.84,1.07,38.26,23988.00,0.08,1.089281e+002,5.58
3,28.65,0.92,134.47,134.63,132.13,0.82,0.97,1.50,6.04,6.93,2.29,0.44,11.43,5.00,133.86,7.61,32.85,1.18,37.13,25032.00,0.13,1.153809e+002,6.35
4,24.80,0.71,132.20,132.91,132.47,0.77,0.90,1.49,5.62,6.76,2.24,0.45,10.75,4.80,132.68,7.52,31.10,1.15,38.61,22423.00,0.17,9.290882e+001,5.58
5,44.75,0.67,117.90,123.27,119.69,0.74,0.91,1.26,7.55,8.56,1.00,1.00,8.85,8.85,121.59,10.42,35.39,1.08,36.52,31492.00,0.12,2.251852e+002,6.07
6,44.98,0.72,114.47,121.58,117.72,0.74,0.91,1.59,7.57,9.07,2.61,0.38,14.38,5.52,119.64,10.57,39.81,1.16,36.65,31106.00,0.17,2.269218e+002,6.80
7,47.28,0.79,112.96,122.34,121.46,0.70,0.90,2.11,7.76,9.44,4.39,0.23,19.02,4.34,121.01,10.69,46.71,1.31,40.64,32672.00,0.18,2.445910e+002,7.38
8,45.90,0.87,110.63,120.87,121.01,0.83,0.97,1.43,7.64,8.64,1.99,0.50,12.66,6.37,119.51,9.33,38.06,1.15,39.94,31550.00,0.12,2.339235e+002,7.46
9,20.42,0.89,159.57,156.69,150.59,0.91,0.99,1.03,5.10,5.49,1.00,1.00,6.05,6.05,154.95,6.03,24.20,1.05,32.45,22932.00,0.07,6.941586e+001,4.79
10,47.05,0.99,113.05,120.10,116.26,0.83,0.99,1.28,7.74,8.49,1.11,0.90,9.55,8.60,118.13,9.11,36.30,1.12,40.08,31777.00,0.09,2.427994e+002,7.83
11,33.25,0.90,126.23,138.10,137.60,0.92,0.99,1.00,6.51,6.81,1.00,1.00,7.07,7.07,136.61,7.26,28.30,1.04,39.56,28415.00,0.04,1.442022e+002,5.80
12,55.69,0.81,115.58,124.18,124.42,0.79,0.95,1.61,8.42,9.75,2.70,0.37,15.88,5.89,123.05,10.47,43.52,1.19,44.80,37653.00,0.14,3.126542e+002,7.98
