Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width
1,33.47,0.97,109.02,116.86,117.78,0.94,1.00,1.00,6.53,6.81,1.00,1.00,7.07,7.07,116.24,7.26,28.30,1.04,43.31,24295.00,0.04,1.456426e+002,6.35
2,30.83,0.65,142.13,127.75,124.61,0.76,0.91,1.08,6.27,6.86,1.00,1.00,7.14,7.14,121.48,8.55,28.57,1.05,19.39,23932.00,0.09,1.287626e+002,4.78
3,20.83,0.89,131.83,123.75,119.68,0.90,0.99,1.05,5.15,5.97,1.00,1.00,6.47,6.47,122.80,6.64,25.90,1.34,6.66,18420.00,0.14,7.152309e+001,5.28
4,43.37,0.95,117.70,127.76,130.44,0.80,0.97,1.63,7.43,8.68,2.77,0.36,15.07,5.45,127.41,9.33,41.05,1.45,41.09,32235.00,0.14,2.148827e+002,7.46
5,26.08,0.87,142.13,154.14,152.31,0.77,0.93,1.80,5.76,6.84,3.35,0.30,13.37,4.00,152.22,7.61,34.74,1.26,43.19,26638.00,0.16,1.001650e+002,5.36
6,56.64,0.97,102.02,115.18,112.95,0.88,0.99,1.16,8.49,9.21,1.00,1.00,9.27,9.27,113.01,10.20,37.08,1.07,38.99,35034.00,0.08,3.206362e+002,8.50
7,21.66,0.83,122.43,119.38,122.09,0.76,0.91,1.43,5.25,6.24,1.99,0.50,9.68,4.86,120.51,7.12,29.08,1.14,42.34,18559.00,0.16,7.582080e+001,5.80
8,37.93,0.68,140.67,143.94,138.70,0.77,0.92,1.24,6.95,7.76,1.00,1.00,8.25,8.25,140.07,9.11,32.99,1.09,28.84,32077.00,0.10,1.757132e+002,6.66
9,56.64,0.93,123.27,133.78,132.95,0.93,1.00,1.06,8.49,8.87,1.00,1.00,8.88,8.88,132.09,9.33,35.52,1.06,29.56,40949.00,0.04,3.206362e+002,8.01
10,41.78,0.76,126.91,138.14,138.22,0.83,0.96,1.04,7.29,7.74,1.00,1.00,7.82,7.82,136.84,8.80,31.29,1.04,34.19,33663.00,0.06,2.031184e+002,6.26
11,45.67,0.89,144.35,140.25,134.70,0.91,0.99,1.07,7.63,8.83,1.00,1.00,8.88,8.88,138.83,9.46,35.52,1.51,10.37,36511.00,0.14,2.321648e+002,8.01
12,29.74,0.95,134.55,131.64,134.12,0.93,1.00,1.03,6.15,6.50,1.00,1.00,6.88,6.88,132.40,6.98,27.52,1.05,24.94,25420.00,0.05,1.219930e+002,5.80
13,61.14,0.85,130.09,135.53,138.02,0.89,0.99,1.03,8.82,9.14,1.00,1.00,8.99,8.99,135.12,9.99,35.98,1.05,32.88,44453.00,0.03,3.596638e+002,8.01
14,33.69,0.92,121.40,131.69,131.67,0.81,0.97,1.40,6.55,7.56,1.88,0.53,10.97,5.84,129.92,8.07,33.63,1.14,41.91,27283.00,0.13,1.470892e+002,6.90
15,23.12,0.98,138.38,136.56,139.19,0.94,1.00,1.00,5.43,5.72,1.00,1.00,6.16,6.16,137.20,5.98,24.66,1.04,21.05,22090.00,0.05,8.360601e+001,5.25
16,24.38,0.95,129.36,133.65,133.17,0.83,0.95,1.32,5.57,6.48,1.46,0.68,8.63,5.91,133.03,7.21,29.08,1.11,44.31,22216.00,0.14,9.054300e+001,5.72
