List File,cl-1-20.lst
Start Time,2016-02-19  13:10:04
Sampling Time,43 sec

Count,13
Particles / ml,725

Efficiency,16.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),37.80,25.86,88.62,16.59,43.90
Aspect Ratio,0.89,0.73,0.98,0.08,9.15
Circle Fit,0.87,0.68,0.94,0.08,8.60
Circularity (Hu),0.97,0.85,1.00,0.04,4.13
Compactness,1.17,1.00,2.14,0.30,25.91
Diameter (ABD),6.82,5.74,10.62,1.30,19.03
Diameter (ESD),7.49,6.22,11.77,1.45,19.35
Elongation,1.27,1.00,4.49,0.97,76.32
Geodesic Aspect Ratio,0.94,0.22,1.00,0.22,22.93
Geodesic Length,8.42,6.52,17.05,2.84,33.67
Geodesic Thickness,7.40,3.80,11.19,1.58,21.38
Intensity,136.50,117.59,162.31,12.60,9.23
Length,8.24,6.50,13.42,1.74,21.13
Perimeter,31.66,26.09,44.76,5.51,17.41
Roughness,1.15,1.04,1.40,0.13,11.63
Sigma Intensity,25.77,5.52,43.60,12.58,48.82
Sum Intensity,30696.38,21121.00,51975.00,8106.26,26.41
Transparency,0.09,0.04,0.21,0.05,53.90
Volume (ABD),185.20,98.94,627.60,139.92,75.55
Width,6.59,5.25,9.06,1.00,15.22

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,38.46,22.71,279,0.03
7-8um,5,38.46,35.20,279,0.05
8-9um,2,15.38,16.02,112,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,12,92.31,73.93,669,0.10
10-15um,1,7.69,26.07,56,0.04
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

