List File,cl-10-20-feb19.lst
Start Time,2016-02-19  13:35:49
Sampling Time,1 min 45 sec

Count,60
Particles / ml,1396

Efficiency,16.4%
PPUI,1.05

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),34.02,20.22,71.48,10.41,30.60
Aspect Ratio,0.90,0.76,0.98,0.05,5.94
Circle Fit,0.88,0.71,0.95,0.06,6.62
Circularity (Hu),0.98,0.92,1.00,0.02,2.16
Compactness,1.15,1.00,1.77,0.18,15.38
Diameter (ABD),6.52,5.07,9.54,0.93,14.30
Diameter (ESD),7.19,5.40,9.95,0.97,13.44
Elongation,1.21,1.00,3.24,0.48,39.79
Geodesic Aspect Ratio,0.90,0.31,1.00,0.20,22.14
Geodesic Length,8.21,5.97,14.48,1.85,22.49
Geodesic Thickness,7.08,4.09,9.78,1.07,15.15
Intensity,133.51,105.12,161.74,14.18,10.62
Length,7.87,5.76,11.87,1.12,14.21
Perimeter,30.57,23.88,40.13,3.68,12.03
Roughness,1.15,1.04,1.55,0.14,12.38
Sigma Intensity,25.72,4.44,45.35,12.09,47.01
Sum Intensity,28099.58,19430.00,58523.00,7000.87,24.91
Transparency,0.09,0.03,0.18,0.04,46.25
Volume (ABD),154.15,68.37,454.58,76.33,49.52
Width,6.42,5.04,9.67,0.97,15.05

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,6.67,3.70,93,0.01
6-7um,24,40.00,28.40,558,0.06
7-8um,22,36.67,38.30,512,0.08
8-9um,6,10.00,15.69,140,0.03
0-5um,0,0.00,0.00,0.00,0.00
5-10um,60,100.00,100.00,1396,0.22
10-15um,0,0.00,0.00,0.00,0.00
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,3,5.00,12.94,70,0.03
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

