List File,cl-2r-20-feb19.lst
Start Time,2016-02-19  13:13:35
Sampling Time,1 min 53 sec

Count,36
Particles / ml,778

Efficiency,16.4%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),35.46,19.60,84.43,13.99,39.46
Aspect Ratio,0.87,0.42,0.98,0.11,12.65
Circle Fit,0.85,0.44,0.94,0.11,12.35
Circularity (Hu),0.97,0.69,1.00,0.06,6.43
Compactness,1.22,1.00,2.32,0.28,23.30
Diameter (ABD),6.61,5.00,10.37,1.21,18.30
Diameter (ESD),7.38,5.57,13.08,1.43,19.43
Elongation,1.42,1.00,5.10,0.89,62.86
Geodesic Aspect Ratio,0.85,0.20,1.00,0.26,30.52
Geodesic Length,8.94,6.16,19.60,3.01,33.66
Geodesic Thickness,6.93,3.53,9.71,1.42,20.54
Intensity,135.64,111.85,158.36,11.69,8.62
Length,8.19,5.82,17.36,2.09,25.49
Perimeter,31.75,24.66,52.44,5.47,17.24
Roughness,1.15,1.03,1.58,0.14,12.55
Sigma Intensity,27.59,3.47,45.58,13.85,50.19
Sum Intensity,29387.94,20011.00,62471.00,8966.16,30.51
Transparency,0.10,0.04,0.24,0.06,57.83
Volume (ABD),167.22,65.29,583.55,107.33,64.18
Width,6.35,4.87,8.62,0.93,14.71

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,8.33,3.83,65,0.00
6-7um,11,30.56,18.63,238,0.02
7-8um,13,36.11,36.01,281,0.05
8-9um,4,11.11,11.98,86,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,35,97.22,90.31,756,0.12
10-15um,1,2.78,9.69,22,0.01
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,5.56,12.91,43,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

