List File,cl-4-20.lst
Start Time,2016-02-19  13:26:42
Sampling Time,1 min 38 sec

Count,56
Particles / ml,1395

Efficiency,16.4%
PPUI,1.04

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),36.87,19.81,69.30,10.90,29.58
Aspect Ratio,0.88,0.41,1.00,0.12,13.53
Circle Fit,0.85,0.35,0.95,0.10,12.26
Circularity (Hu),0.96,0.40,1.00,0.08,8.84
Compactness,1.27,1.00,5.01,0.55,43.37
Diameter (ABD),6.78,5.02,9.39,1.01,14.87
Diameter (ESD),7.65,5.33,11.26,1.18,15.39
Elongation,1.55,1.00,13.68,1.75,113.10
Geodesic Aspect Ratio,0.84,0.07,1.00,0.25,30.42
Geodesic Length,9.39,5.90,25.28,3.49,37.14
Geodesic Thickness,7.05,1.85,9.25,1.25,17.65
Intensity,134.43,111.82,163.66,10.58,7.87
Length,8.44,5.88,14.42,1.46,17.28
Perimeter,32.88,23.61,54.25,5.79,17.61
Roughness,1.19,1.04,2.18,0.20,17.03
Sigma Intensity,29.39,4.77,45.32,12.45,42.37
Sum Intensity,29983.38,19594.00,48329.00,6868.08,22.91
Transparency,0.11,0.04,0.41,0.07,62.93
Volume (ABD),173.77,66.31,433.97,76.91,44.26
Width,6.68,4.32,8.62,1.13,16.93

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,4,7.14,3.04,100,0.01
6-7um,14,25.00,16.53,349,0.04
7-8um,20,35.71,35.30,498,0.09
8-9um,11,19.64,23.64,274,0.06
0-5um,0,0.00,0.00,0.00,0.00
5-10um,55,98.21,95.54,1370,0.23
10-15um,1,1.79,4.46,25,0.01
15-20um,0,0.00,0.00,0.00,0.00
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,6,10.71,17.03,149,0.04
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

