List File,cl-5-20-feb22r2.lst
Start Time,2016-02-22  11:04:25
Sampling Time,16 sec

Count,46
Particles / ml,6694

Efficiency,16.3%
PPUI,1.12

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),61.73,20.01,602.72,87.18,141.24
Aspect Ratio,0.89,0.62,0.99,0.07,7.87
Circle Fit,0.85,0.40,0.94,0.11,12.89
Circularity (Hu),0.97,0.78,1.00,0.04,3.94
Compactness,1.26,1.00,2.45,0.35,27.87
Diameter (ABD),8.12,5.05,27.70,3.61,44.43
Diameter (ESD),9.01,5.29,31.63,4.20,46.68
Elongation,1.58,1.00,5.50,1.13,71.22
Geodesic Aspect Ratio,0.82,0.18,1.00,0.29,35.35
Geodesic Length,11.68,5.77,63.00,9.31,79.69
Geodesic Thickness,7.59,4.43,11.45,1.62,21.34
Intensity,137.23,99.67,160.05,13.38,9.75
Length,9.80,5.58,34.52,4.62,47.13
Perimeter,38.54,23.10,148.91,19.70,51.12
Roughness,1.18,1.03,1.51,0.15,12.96
Sigma Intensity,31.64,14.65,47.05,8.79,27.78
Sum Intensity,42491.17,20616.00,2.76e+005,38062.31,89.58
Transparency,0.09,0.04,0.20,0.05,52.11
Volume (ABD),532.13,67.34,11130.97,1628.73,306.08
Width,8.04,4.70,27.68,3.68,45.74

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,6.52,0.98,437,0.04
6-7um,9,19.57,4.26,1310,0.15
7-8um,11,23.91,7.41,1601,0.26
8-9um,11,23.91,11.03,1601,0.39
0-5um,0,0.00,0.00,0.00,0.00
5-10um,37,80.43,27.90,5385,0.99
10-15um,6,13.04,14.08,873,0.50
15-20um,2,4.35,12.55,291,0.45
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,1,2.17,45.47,146,1.62
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,3,6.52,4.21,437,0.15
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

