date,time,day,ID,temperature,replicate,density
16-03-04 14:01,0,0,18a,18,1,197724
16-03-04 14:05,0,0,18b,18,2,191373
16-03-04 14:08,0,0,18c,18,3,235849
16-03-04 14:10,0,0,18d,18,4,182946
16-03-04 14:13,0,0,18e,18,5,190566
16-03-04 14:15,0,0,18f,18,6,211323
16-03-04 14:18,0,0,18g,18,7,125594
16-03-04 14:20,0,0,18h,18,8,221435
16-03-04 14:29,0,0,24a,24,1,220448
16-03-04 14:31,0,0,24b,24,2,262861
16-03-04 14:34,0,0,24c,24,3,183286
16-03-04 14:36,0,0,24d,24,4,196242
16-03-04 14:39,0,0,24e,24,5,193818
16-03-04 14:41,0,0,24f,24,6,199853
16-03-04 14:43,0,0,24g,24,7,190759
16-03-04 14:45,0,0,24h,24,8,222876
16-03-04 14:51,0,0,22a,22,1,222161
16-03-04 14:53,0,0,22b,22,2,226407
16-03-04 14:57,0,0,22c,22,3,226622
16-03-04 14:59,0,0,22d,22,4,219612
16-03-04 15:01,0,0,22e,22,5,233041
16-03-04 15:07,0,0,22f,22,6,208023
16-03-04 15:09,0,0,22g,22,7,261938
16-03-04 15:11,0,0,22h,22,8,250798
16-03-04 15:17,0,0,20a,20,1,221275
16-03-04 15:19,0,0,20b,20,2,213162
16-03-04 15:22,0,0,20c,20,3,185300
16-03-04 15:24,0,0,20d,20,4,240260
16-03-04 15:25,0,0,20e,20,5,241664
16-03-04 15:27,0,0,20f,20,6,218912
16-03-04 15:30,0,0,20g,20,7,258211
16-03-04 15:35,0,0,20h,20,8,195199
16-03-04 15:46,0,0,16a,16,1,198737
16-03-04 15:50,0,0,16b,16,2,152802
16-03-04 15:52,0,0,16c,16,3,144483
16-03-04 15:54,0,0,16d,16,4,143757
16-03-04 15:56,0,0,16e,16,5,182658
16-03-04 16:00,0,0,16f,16,6,83709
16-03-04 16:02,0,0,16g,16,7,128005
16-03-04 16:03,0,0,16h,16,8,243926
16-03-11 13:25,6.955555556,7,24a,24,1,514248
16-03-11 13:29,6.956944444,7,24b,24,2,808932
16-03-11 13:31,6.95625,7,24c,24,3,857213
16-03-11 13:33,6.95625,7,24d,24,4,1128898
16-03-11 13:39,6.958333333,7,24e,24,5,1401246
16-03-11 13:42,6.959027778,7,24f,24,6,883715
16-03-11 13:53,6.965277778,7,24g,24,7,849340
16-03-11 13:57,6.966666667,7,24h,24,8,707778
16-03-11 15:46,7.038194444,7,22a,22,1,621448
16-03-11 15:49,7.038888889,7,22b,22,2,488028
16-03-11 15:55,7.040277778,7,22c,22,3,487468
16-03-15 18:50,11.16041667,11,22d,22,4,709707
15-Mar,11.16319444,11,22e,22,5,1244761
16-03-15 18:59,11.16111111,11,22f,22,6,1305082
16-03-15 19:02,11.16180556,11,22g,22,7,1293789
16-03-15 18:50,11.15208333,11,22h,22,8,620228
16-03-15 19:26,11.17291667,11,20a,20,1,1469792
16-03-15 19:29,11.17361111,11,20b,20,2,1285012
16-03-15 19:32,11.17361111,11,20c,20,3,1303001
16-03-15 19:34,11.17361111,11,20d,20,4,1240520
16-03-15 19:36,11.17430556,11,20e,20,5,1263986
16-03-15 19:39,11.175,11,20f,20,6,1038801
16-03-15 19:42,11.175,11,20g,20,7,906267
16-03-15 19:44,11.17291667,11,20h,20,8,869115
