temperature,replicate,term,estimate,std.error,statistic,p.value,nutrient_level
8,1,a,0.028286478438850758,0.007453744048822862,3.7949355724547478,0.0017613731293982745,replete
8,2,a,0.03757728117644112,0.005425862343555128,6.9255869016057225,3.414719303775368e-6,replete
8,3,a,0.02832884644378296,0.007264603535051145,3.899572262560302,0.0012749204631207034,replete
8,4,a,0.04192109986599516,0.005098121997336263,8.222851451553861,3.875620039149713e-7,replete
8,5,a,0.04325948081777826,0.004561896641582352,9.482784073506137,5.721191943097494e-8,replete
12,1,a,0.04796607635540599,0.003667553008294658,13.078495729148111,1.2475750451478562e-10,replete
12,2,a,0.04708550344245581,0.003632859277963701,12.961003947515492,6.978223094445743e-11,replete
12,3,a,0.049784038194939755,0.006393193370002457,7.787037762463397,5.259846832984811e-7,replete
12,4,a,0.052653227710016653,0.006151677775687321,8.559165422823817,9.241529588642886e-8,replete
12,5,a,0.0522887845174654,0.005745395119902101,9.100990171474296,6.04583491035729e-8,replete
16,1,a,0.06072151360657376,0.012252678919113347,4.955774488781578,1.2021428256847479e-4,replete
16,2,a,0.0584024516959371,0.010956139281016759,5.330568569635526,5.520249631299213e-5,replete
16,3,a,0.059032197655373236,0.012098013727988594,4.879495013202294,1.411084499201142e-4,replete
16,4,a,0.060223603269404874,0.012269803747430752,4.908277630929138,1.3281946808214233e-4,replete
16,5,a,0.06391537676827817,0.010904950050475684,5.8611342988673405,1.887680864640747e-5,replete
20,1,a,0.0686410516729099,0.008573131594021921,8.006531909620234,2.199094157088709e-5,replete
20,2,a,0.07154188185300488,0.0074743926563869065,9.571598006946019,5.145374661195221e-6,replete
20,3,a,0.0661162395619054,0.010082308421112577,6.557648982792129,1.0424493547884021e-4,replete
20,4,a,0.06425156222910383,0.00961915760863576,6.679541477875455,9.062616378352566e-5,replete
20,5,a,0.07044920545083859,0.008036343937731855,8.766325333597143,1.0582693329684065e-5,replete
24,1,a,0.09337053790158913,0.005123584589154639,18.223674514758955,2.0588827053323915e-8,replete
24,2,a,0.09312384179848905,0.0057726593260977194,16.13187900721662,5.988068914493977e-8,replete
24,3,a,0.08911921137012294,0.0053378023148769865,16.69586210072614,4.4352953313714344e-8,replete
24,4,a,0.09103041503632098,0.007343761892130485,12.395610910787893,1.673732499954047e-6,replete
24,5,a,0.09189404791355049,0.007452456485637114,12.330705733157249,2.2614281756341343e-7,replete
8,1,a,0.011605276490309922,0.0084717189274286335,1.369884505107442,0.19088088709181394,deficient
8,2,a,-9.321566915773769e-4,0.0102055664913153,-0.09133806461117279,0.9281326160383907,deficient
8,3,a,-0.0028505783083161065,0.011223704135505727,-0.2539783901910261,0.8021050620696266,deficient
8,4,a,0.006913293537800053,0.008644998578240613,0.7996870647498721,0.43560453958015133,deficient
8,5,a,0.008889317448555666,0.0092946660579917,0.9563891153370153,0.3531042440617582,deficient
12,1,a,0.03525827773425743,0.005199567806728868,6.781001622601972,4.4127616807437214e-6,deficient
12,2,a,0.0322750654523634,0.00609436599837565,5.2958856525790825,5.9285126979102775e-5,deficient
12,3,a,0.02762267707187352,0.0051266610985669855,5.3880442925307985,4.040127667492453e-5,deficient
12,4,a,0.027306888340180014,0.005024489908732479,5.434758320983211,3.6591345587803385e-5,deficient
12,5,a,0.02862217336485106,0.005860900363757355,4.8835795847759,1.1952231623259705e-4,deficient
16,1,a,0.0407560087747673,0.004140184432793919,9.844008023397148,1.9485823777226216e-8,deficient
16,2,a,0.042176468628633154,0.00411364947220745,10.25281053079143,1.0724535187405312e-8,deficient
16,3,a,0.03247333458553712,0.006149224107040205,5.280883249702774,9.234553314117164e-5,deficient
16,4,a,0.04081412408743394,0.0050983748177355365,8.005320429846643,2.427622463442505e-7,deficient
20,1,a,0.056885629684750645,0.011385876335425128,4.996157345198027,7.428545822778633e-4,deficient
20,2,a,0.07344576851095799,0.01546370465547427,4.749558410956693,0.0020845824411468835,deficient
20,3,a,0.05276763619208476,0.02007977970095941,2.627899159150811,0.03027678106755272,deficient
20,4,a,0.04685533996370592,0.01081826997234434,4.331130585896469,0.0019019561466302381,deficient
20,5,a,0.04454788324064022,0.01440449576454724,3.0926374632482974,0.014830184385173893,deficient
24,1,a,0.09499733010420115,0.0214911379296762,4.420302471421179,0.001670454040744128,deficient
24,2,a,0.086072637504554,0.01752405436267153,4.91168514564185,8.341028975108349e-4,deficient
24,3,a,0.08448446576160827,0.022326985189044343,3.783962099955352,0.005357770608420086,deficient
24,4,a,0.07977938024767207,0.01909172329145034,4.178741700252846,0.0018914896301500176,deficient
24,5,a,0.08090476704503216,0.015684044268344962,5.158412311314493,4.780446762183995e-5,deficient
