name,replicate,temperature,Particle ID,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circle Fit,Circularity (Hu),Compactness,Diameter (ABD),Diameter (ESD),Elongation,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Intensity,Length,Perimeter,Roughness,Sigma Intensity,Sum Intensity,Transparency,Volume (ABD),Width,datasetID
cl,10,20,1,29.96,0.93,101.14,106.2,105.61,0.92,1,1.03,6.18,6.53,1,1,6.91,6.91,105.12,6.99,27.65,1.05,29.62,20289,0.05,123.3343,6.11,cl-10-20
cl,10,20,2,29.74,0.92,102.9,107.58,105.42,0.93,1,1.04,6.15,6.47,1,1,6.91,6.91,106.06,6.97,27.65,1.06,30.94,20363,0.05,121.993,5.8,cl-10-20
cl,10,20,3,30.17,0.89,103.35,107.32,107.86,0.84,0.98,1.22,6.2,6.94,1,1,7.55,7.55,107.01,8.15,30.19,1.09,32.53,20760,0.11,124.682,5.8,cl-10-20
cl,10,20,4,29.74,0.89,102.65,106.59,108.64,0.88,0.99,1.16,6.15,6.76,1,1,7.3,7.3,106.44,7.71,29.21,1.08,32.35,20437,0.09,121.993,5.95,cl-10-20
cl,10,20,5,33.03,0.9,107.61,110.56,110.45,0.82,0.97,1.33,6.48,7.48,1.53,0.65,9.84,6.42,110.17,8.25,32.53,1.11,34.95,22805,0.13,142.7679,6.66,cl-10-20
cl,10,20,6,33.91,0.87,106.64,111.91,114.22,0.8,0.95,1.34,6.57,7.61,1.6,0.63,10.14,6.36,111.97,8.02,32.99,1.11,37.21,23625,0.14,148.5417,7.03,cl-10-20
cl,10,20,7,34.35,0.83,110,113.96,115.08,0.83,0.96,1.29,6.61,7.56,1.29,0.77,9.18,7.09,113.81,9.03,32.53,1.1,38.14,24242,0.12,151.4651,6.27,cl-10-20
cl,10,20,8,35.02,0.84,113.81,118.72,123.25,0.81,0.95,1.51,6.68,7.81,2.31,0.43,12.36,5.34,119.49,8.49,35.39,1.16,40.05,25810,0.14,155.8953,6.75,cl-10-20
cl,10,20,9,27.58,0.92,138.45,139.31,136.92,0.92,0.99,1.02,5.93,6.27,1,1,6.68,6.68,138.48,6.8,26.74,1.05,23.5,25204,0.06,108.9281,5.8,cl-10-20
cl,10,20,10,21.66,0.87,126.21,128.42,121.78,0.8,0.92,1.48,5.25,6.43,2.18,0.46,10.12,4.65,126.17,7.18,29.54,1.13,41.9,19430,0.18,75.8208,5.41,cl-10-20
cl,10,20,11,71.48,0.97,150.43,158.36,158.02,0.93,1,1.06,9.54,9.95,1,1,9.74,9.74,157.32,10.29,38.97,1.05,23.42,58523,0.04,454.5791,9.67,cl-10-20
cl,10,20,12,70.27,0.91,133.85,138.48,141.02,0.91,0.99,1.09,9.46,9.91,1,1,9.78,9.78,138.56,10.81,39.1,1.06,8.34,50850,0.05,443.0844,9.25,cl-10-20
cl,10,20,13,42,0.88,133.5,132.82,133.98,0.89,0.99,1.04,7.31,7.73,1,1,7.86,7.86,133,8.45,31.42,1.05,25.86,32850,0.05,204.7821,6.81,cl-10-20
cl,10,20,14,42.23,0.92,148.43,139.04,133.91,0.92,0.99,1.05,7.33,8.36,1,1,8.41,8.41,138.57,8.8,33.63,1.47,11.95,34365,0.12,206.4514,7.46,cl-10-20
cl,10,20,15,30.39,0.86,155.11,148.59,144.84,0.89,0.99,1.06,6.22,7.38,1,1,7.66,7.66,148.18,8.03,30.64,1.55,13.98,28895,0.16,126.0359,6.5,cl-10-20
cl,10,20,16,23.33,0.86,151.82,152.83,156.44,0.9,0.99,1.03,5.45,5.79,1,1,6.33,6.33,153.55,6.28,25.31,1.06,18.59,24875,0.06,84.74537,5.14,cl-10-20
cl,10,20,17,38.38,0.81,115.55,111.18,109.45,0.86,0.98,1.06,6.99,7.41,1,1,7.66,7.66,110.6,8.57,30.64,1.06,16.74,25548,0.06,178.8506,5.8,cl-10-20
cl,10,20,18,20.22,0.94,146.45,146.36,142.84,0.92,0.99,1.01,5.07,5.4,1,1,5.97,5.97,145.01,5.76,23.88,1.05,16.18,21316,0.06,68.37271,5.04,cl-10-20
cl,10,20,19,34.13,0.96,141.56,147.25,147.61,0.88,0.98,1.22,6.59,7.49,1,1,8.1,8.1,146.7,7.9,32.4,1.31,42.05,31101,0.12,150.0004,7.05,cl-10-20
