start_time,cell_count,Unique_ID,date,temperature,P.treatment,replicate,unique_number,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
2016-07-02T09:59:36Z,27436.0,1,JULY2,24,FULL,1,41.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 09:59:36 UTC,1.8221412037037037,43.73138888888889
2016-07-05T09:45:20Z,547823.0,1,JULY5,24,FULL,1,41.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 09:45:20 UTC,4.812233796296296,115.49361111111111
2016-07-02T11:25:36Z,4836.0,10,JULY2,8,DEF,5,10.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 11:25:36 UTC,1.881863425925926,45.164722222222224
2016-07-04T14:45:01Z,5945.0,10,JULY4,8,DEF,5,10.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:45:01 UTC,4.020347222222222,96.48833333333333
2016-07-06T13:11:36Z,7313.0,11,lst,12,FULL,1,11.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 13:11:36 UTC,5.955474537037037,142.93138888888888
2016-07-01T14:02:06Z,4502.0,11,JULY1,12,FULL,1,11.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 14:02:06 UTC,0.9905439814814815,23.773055555555555
2016-07-02T10:49:09Z,3624.0,11,JULY2,12,FULL,1,11.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 10:49:09 UTC,1.8565509259259259,44.55722222222222
2016-07-03T15:11:37Z,3258.0,11,JULY3,12,FULL,1,11.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 15:11:37 UTC,3.0388194444444445,72.93166666666667
2016-07-04T14:11:24Z,3444.0,11,JULY4,12,FULL,1,11.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:11:24 UTC,3.997002314814815,95.92805555555556
2016-07-05T16:42:07Z,7712.0,11,JULY5,12,FULL,1,11.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 16:42:07 UTC,5.101666666666667,122.44
